QP;LIB_QP;LIST_COMARR_2020;Pop_2013
QP001001;Grande Reyssouze Terre Des Fleurs;01053;6056
QP001002;Croix Blanche;01053;1830
QP001003;Quartier Jacques Prévert;01354;1807
QP001004;Levant - Tattes;01160;1378
QP001005;Les Courbes De L'Albarine;01004;1677
QP001006;La Plaine - La Forge;01283;4467
QP001007;Pré Des Saules;01031;1034
QP001008;Brillat - Savarin;01034;1012
QP001009;Maladière;01262;1092
QP002001;Europe;02691;6059
QP002002;Faubourg D'Isle;02691;2763
QP002003;Neuville;02691;1705
QP002004;Vermandois;02691;1750
QP002005;Champ Roland Et Bords De L'Oise;02381;1606
QP002006;Gare Et Verrière;02381;994
QP002007;Quartier De L'Artilleur;02304;1311
QP002008;Roosevelt Rebequet;02738;1315
QP002009;Quartier De La Résidence;02173;1823
QP002010;Montreuil;02408;1376
QP002011;Champagne Moulin - Roux;02408;4396
QP002012;Saint-Crépin Ouest;02722;2275
QP002013;Presles;02722;5519
QP002014;Chevreux;02722;1035
QP002015;Route De Vivières;02810;1318
QP002016;Blanchard;02168;1168
QP002017;Vaucrises;02168;1769
QP003001;Coeur D'Agglo;0309503310;3887
QP003002;Les Ailes;03310;1681
QP003003;Moulins-Sud;03190;3414
QP003004;Rive Gauche;03185;2841
QP003005;Fontbouillant;0318503211;1234
QP003006;Bien-Assis;0310103185;1323
QP004001;Centre Ville - Pigeonnier;04070;2100
QP004002;Centre Ville - Saint-Lazare;04112;3427
QP004003;Arc Serrets - Plantiers - Aliziers;04112;2062
QP005001;Haut - Gap;05061;1441
QP006001;Las Planas;06088;1328
QP006002;Coeur De Ville - Hauts De Vallauris;06155;3347
QP006003;Ranguin-Frayère;0602906030;4029
QP006004;Genêts - Oliviers - Saint-Pierre;0602906030;2009
QP006005;Grand Centre;06069;6984
QP006006;Les Fleurs De Grasse;06069;1407
QP006007;La Condamine;06054;1555
QP006008;Centre;06033;2001
QP006009;Résidence Sociale Nicéa;06088;1008
QP006010;Les Moulins - Le Point Du Jour;0608806123;7795
QP006011;Les Sagnes;06088;1281
QP006012;Centre;06088;3859
QP006013;Paillon;06088;11919
QP006014;Ariane - Le Manoir;0608806114;10217
QP006015;Palais Des Expositions;06088;1731
QP006016;Centre;06157;1958
QP007001;Le Contrat Ville Des Quartiers D'Avenir D'Aubenas;07019;1776
QP007002;Coeur De Ville;07319;1178
QP007003;Sud Avenir;07319;1124
QP007004;Les Hauts De Ville;07010;1822
QP007005;Nouvel Horizon;07186;1249
QP008001;Manchester;08105;2450
QP008002;Ronde Couture;08105;7463
QP008003;La Houillère;08105;2020
QP008004;La Couronne;08105;1840
QP008005;Torcy Cités;08409;1247
QP008006;Torcy Centre;08409;1113
QP008007;Le Lac - Centre Ancien;08409;5027
QP008008;Coeur De Vie;08362;1287
QP009001;Coeur De Ville;09261;1177
QP009002;Centre Ancien;09122;1236
QP009003;Centre Ancien - La Gloriette;09225;4291
QP010001;Gare;10387;1430
QP010002;Bords De Seine;10387;2951
QP010003;Chantereigne Montvilliers Beau-Toquat;100811026510387;7736
QP010004;Debussy;10297;1684
QP010005;Maugout;10333;1461
QP010006;Chartreux;10387;4020
QP010007;Jules Guesde;10387;1695
QP010008;Sénardes;10387;1387
QP010009;Point Du Jour;10387;1189
QP010010;Quartier Des Lumières - Alfred Boucher;10323;1668
QP011001;Quartier Aude;11206;2050
QP011002;La Conte - Ozanam;11069;2060
QP011003;Le Viguier - Saint-Jacques;11069;1862
QP011004;Bastide Pont-Vieux;11069;3775
QP011005;Fleming La Reille;11069;1050
QP011006;Grazailles;11069;1084
QP011007;Narbonne Ouest;11262;4031
QP011008;Narbonne Centre;11262;4661
QP011009;Narbonne Est;11262;1692
QP011010;Centre Ville;11203;2993
QP012001;Quatre Saisons;12176;1540
QP012002;La Bastide;12300;2091
QP013001;Florida Parc;13054;945
QP013002;Quartier Centre Ville;13014;1080
QP013003;Saint Henri;13216;2019
QP013004;Notre-Dame;13041;1226
QP013005;La Viste;13215;2887
QP013006;Roquecoquille;13027;1029
