REG;DEP;DEPCOM;DCIRIS;AN;TYPEQU;lng;lat
11;91;91174;91174_0701;2019;D603;2.473648341541447;48.60131784593903
11;91;91086;91086_0101;2019;D401;2.3776574256939997;48.61287803608526
11;91;91201;91201_0110;2019;D603;2.4169615990549143;48.686338196432665
11;91;91216;91216_0101;2019;D603;2.3076807461387308;48.661082384929585
11;91;91514;91514;2019;D401;2.5373229645039177;48.676322269864265
11;91;91174;91174_0801;2019;D703;2.477555542824698;48.59155074136603
11;91;91021;91021_0103;2019;D101;2.2434523744620263;48.58358938544959
11;91;91021;91021_0103;2019;D102;2.2434523744620263;48.58358938544959
11;91;91021;91021_0103;2019;D106;2.2434523744620263;48.58358938544959
11;91;91021;91021_0103;2019;D107;2.2434523744620263;48.58358938544959
11;91;91200;91200_0104;2019;D101;2.001436812263687;48.53366057047881
11;91;91200;91200_0104;2019;D102;2.001436812263687;48.53366057047881
11;91;91200;91200_0104;2019;D106;2.001436812263687;48.53366057047881
11;91;91345;91345_0104;2019;D101;2.291196201524923;48.692569576169255
11;91;91345;91345_0104;2019;D107;2.291196201524923;48.692569576169255
11;91;91345;91345_0104;2019;D102;2.291196201524923;48.692569576169255
11;91;91345;91345_0104;2019;D106;2.291196201524923;48.692569576169255
11;91;91471;91471_0106;2019;D106;2.18720438237762;48.698714499747986
11;91;91471;91471_0106;2019;D107;2.18720438237762;48.698714499747986
11;91;91471;91471_0106;2019;D101;2.18720438237762;48.698714499747986
11;91;91174;91174_0801;2019;D106;2.4798803504634184;48.598319186232374
11;91;91216;91216_0101;2019;D104;2.3145133405589315;48.66440327464857
11;91;91223;91223_0104;2019;D104;2.1550021702605844;48.44041653851372
11;91;91691;91691_0106;2019;D104;2.493822750055324;48.716108791954724
11;91;91223;91223_0106;2019;D101;2.148108726642157;48.421993741194775
11;91;91223;91223_0106;2019;D102;2.148108726642157;48.421993741194775
11;91;91223;91223_0106;2019;D106;2.148108726642157;48.421993741194775
11;91;91223;91223_0106;2019;D107;2.148108726642157;48.421993741194775
11;91;91161;91161_0102;2019;D401;2.3199654039048516;48.70273479169492
11;91;91589;91589_0115;2019;D602;2.3457581554811155;48.69043386229913
11;91;91232;91232;2019;D701;2.350632002666351;48.4845308747761
11;91;91027;91027_0110;2019;D401;2.3883671561965665;48.708954336716516
11;91;91272;91272_0106;2019;D402;2.114795080243554;48.688309049497015
11;91;91272;91272_0106;2019;D606;2.114795080243554;48.688309049497015
11;91;91589;91589_0111;2019;D401;2.3466545715331693;48.684149579084334
11;91;91226;91226;2019;D603;2.193647210673386;48.49343348396652
11;91;91411;91411;2019;D602;2.064750151768604;48.670992659115214
11;91;91377;91377_0106;2019;D602;2.2793320087769433;48.732310015907835
11;91;91570;91570_0102;2019;D401;2.3052895626654926;48.63654671572292
11;91;91228;91228_0207;2019;D108;2.4231952036838003;48.62395115029903
11;91;91027;91027_0106;2019;D111;2.3761785830487425;48.70021945065618
