idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
immo-facile-51468748;pr;a;v;0;81;;5;160000;;;0;0;0;0;D;169;45.43348;4.31822;Oui;3.0;;;;0;D;;;;;;;;54.0;787.0;;;;a;n;;a;2023-01;42189;0101;421890101;H;H;4218901;00753;84;42;;;;8.62;2.0;0.052;1975.31
hektor-VILLEURBANNE-2750;pr;a;v;1;82;745.0;5;195000;;;0;0;1;0;F;341;45.41421;4.31925;Non;2.0;;2.0;True;Est-Ouest;E;1910.0;1.0;;;;;False;2.0;;Gaz;;Individuel;a;n;;a;2023-01;42189;0104;421890104;H;H;4218901;00753;84;42;;;;8.62;2.0;0.044;2378.05
iad-france-1267127;pr;m;v;0;81;290.0;3;185000;;;0;0;0;0;D;209;45.4309;4.32205;Oui;1.0;;;False;0;D;1930.0;;;;False;;;;;Gaz;Radiateur;;m;n;;m;2023-01;42189;0102;421890102;H;H;4218901;00753;84;42;6.85;3.0;0.036;6.85;3.0;0.036;2283.95
ag750949-373015060;pr;a;v;1;80;;3;129000;;;0;0;1;1;D;183;45.49871;4.25976;Non;3.0;;1.0;False;0;;;1.0;;;;;False;;;Gaz;;;network;n;;a;2023-01;42279;0202;422790202;H;H;4227901;42501;84;42;8.82;11.0;0.066;8.8;22.0;0.065;1612.5
guy-hoquet-immo-facile-6045735;pr;m;v;0;121;;5;168000;;;0;0;1;1;C;86;45.50323;4.24077;Oui;2.0;;;False;0;C;;3.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;16.0;m;2023-01;42279;0101;422790101;H;H;4227901;42501;84;42;9.27;2.0;0.08;8.28;4.0;0.072;1388.43
ag340369-372465151;pr;m;v;0;155;300.0;1;140000;;;0;0;0;0;NS;;45.49832;4.25547;Oui;;;1.0;;0;;;;;;;;;2.0;;;;;m;n;;m;2023-01;42279;0102;422790102;H;H;4227901;42501;84;42;;;;;;;903.23
adapt-immo-3805371;pr;m;v;0;86;;4;189000;;;0;0;1;0;D;146;45.50021;4.25496;Oui;2.0;;;True;0;D;1948.0;1.0;;;;;;;;Gaz;;;a;n;;m;2023-01;42279;0102;422790102;H;H;4227901;42501;84;42;10.26;2.0;0.056;9.23;11.0;0.05;2197.67
webgenery-63B55A918B2A7924404515;pr;m;v;0;209;;8;349000;;;0;0;0;0;C;112;45.49534;4.24692;Non;;;;False;0;D;;;;;;;;;;;;Individuel;a;n;;m;2023-01;42279;0102;422790102;H;H;4227901;42501;84;42;;;;;;;1669.86
webgenery-6399FBFE019AD016547034;pr;m;v;0;94;150.0;4;289000;;;0;0;0;0;C;121;45.61808;4.05018;Non;;;;False;0;C;;;;;;;;;;Gaz;;Individuel;a;n;;m;2023-01;42147;0301;421470301;H;H;4214701;42401;84;42;9.19;4.0;0.036;8.55;23.0;0.033;3074.47
webgenery-638F5EEAA9B58035331977;pr;a;v;1;67;;3;223000;;;0;0;0;0;0;;45.60279;4.0562;Oui;;;;False;0;;;;;;;;False;;;Gaz;;;a;n;;a;2023-01;42147;0101;421470101;H;H;4214701;42401;84;42;8.61;28.0;0.031;8.4;136.0;0.03;3328.36
hektor-forest-immo-1041;pr;a;v;2;32;;1;85000;;;0;0;0;0;VI;;45.60491;4.04509;Non;;;;;0;VI;;;;;;;;;;;;;a;n;;a;2023-01;42147;0101;421470101;H;H;4214701;42401;84;42;11.26;12.0;0.051;11.44;59.0;0.052;2656.25
ag440414-372917809;pr;m;v;0;137;58.0;5;139000;;;0;0;1;0;D;239;45.59095;4.07628;Oui;;;;True;0;C;;1.0;;;False;;;;;;;Individuel;m;n;;m;2023-01;42147;0201;421470201;H;H;4214701;42401;84;42;7.66;1.0;0.091;7.7;12.0;0.091;1014.6
visiteonline-p_5524648;pr;an;v;0;67;;3;223000;;;0;0;0;0;0;;45.60884;4.06475;0;;;;;0;;;;;;;;;;;;;;ca;o;;a;2023-01;42147;0102;421470102;H;H;4214701;42401;84;42;7.9;60.0;0.028;8.4;136.0;0.03;3328.36
visiteonline-p_5524647;pr;an;v;0;70;;3;226500;;;0;0;0;0;0;;45.60884;4.06475;0;;;;;0;;;;;;;;;;;;;;ca;o;;a;2023-01;42147;0102;421470102;H;H;4214701;42401;84;42;7.9;60.0;0.029;8.4;136.0;0.031;3235.71
gedeon-26266339;pr;m;v;0;109;1000.0;7;299000;;;0;0;0;0;E;295;45.60707;4.06531;0;;;;;0;B;;;;;;;;;;;;;network;n;;m;2023-01;42147;0102;421470102;H;H;4214701;42401;84;42;;;;;;;2743.12
hektor-agence-abicom-immobilier-803;pr;m;v;0;235;280.0;10;232000;;;0;0;0;0;F;406;45.60707;4.06531;Non;2.0;;;;0;C;;;;;;;;;;;;;a;n;;m;2023-01;42147;0102;421470102;H;H;4214701;42401;84;42;;;;;;;987.23
hektor-forest-immo-1039;pr;m;v;0;96;1685.0;5;440000;;;0;0;0;0;E;299;45.4979;4.23831;Oui;;;;;0;E;;;;;;;;;;;;;a;n;;m;2023-01;42279;0103;422790103;H;H;4227901;42501;84;42;;;;8.28;4.0;0.022;4583.33
hektor-sauzea-immo-468;pr;m;v;0;92;1265.0;4;260000;;;0;0;0;1;E;300;45.51305;4.25305;Oui;1.0;;;;0;F;1973.0;1.0;1.0;;;;;;;Gaz;;Individuel;a;n;;m;2023-01;42279;0201;422790201;H;H;4227901;42501;84;42;9.75;2.0;0.041;9.23;11.0;0.039;2826.09
visiteonline-p_5524645;pr;an;v;0;115;;4;429000;;;0;0;0;0;0;;45.49368;4.2453;0;;;;;0;;;;;;;;;;;;;;ca;o;;a;2023-01;42279;0103;422790103;H;H;4227901;42501;84;42;10.26;1.0;0.033;7.78;11.0;0.025;3730.43
orpi-1-113010E2BO4S;pr;m;v;0;47;508.0;2;149000;;;0;0;1;0;G;480;45.52409;4.25384;Oui;;;2.0;False;0;G;;1.0;2.0;;False;;;;;Gaz;Radiateur;Individuel;a;n;;m;2023-01;42005;0105;420050105;H;H;4200501;42501;84;42;;;;;;;3170.21
keller-williams-1-34_1_59-120248;pr;a;v;3;114;;5;194500;;;0;1;1;1;D;176;45.53185;4.2624;Non;3.0;;;True;0;D;1965.0;1.0;;;True;;False;111.0;;;;;a;n;;a;2023-01;42005;0104;420050104;H;H;4200501;42501;84;42;;;;6.06;2.0;0.043;1706.14
safti-1-792604;pr;m;v;0;125;1933.0;4;389000;;;0;0;0;2;E;255;45.53986;4.29117;Oui;;;3.0;False;0;B;1970.0;2.0;;;False;;;;;Électrique;;Individuel;m;n;;m;2023-01;42005;0104;420050104;H;H;4200501;42501;84;42;;;;9.5;5.0;0.037;3112.0
iad-france-1279564;pr;a;v;0;137;;3;380000;;;0;0;0;0;B;88;45.53578;4.27272;Non;1.0;;1.0;True;0;A;;;;;True;;False;12.0;504.0;;;;m;n;;a;2023-01;42005;0104;420050104;H;H;4200501;42501;84;42;9.23;7.0;0.04;9.16;54.0;0.04;2773.72
ag440414-366393832;pr;m;v;0;90;135.0;5;55000;;;0;0;0;0;F;344;46.07822;4.20452;Non;;;;True;0;F;;;;;False;;;;;Gaz;;Individuel;m;n;;m;2023-01;42074;0000;420740000;Z;Z;4207400;42000;84;42;;;;;;;611.11
