idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
century-21-202_444_19024;pr;m;v;0;50;93.0;3;144800;;;0;0;1;0;G;564;48.45886;-2.05865;Non;;;0.0;;0;C;1950.0;1.0;1.0;;;;;;;Électrique;Convecteur;Individuel;a;n;;m;2023-01;22050;0101;220500101;A;A;2205001;22402;53;22;;;;10.5;7.0;0.044;2896.0
hektor-daulyimmobilier-108;pr;a;v;3;63;;4;178500;;;0;0;0;1;E;263;48.45379;-2.04612;Oui;4.0;;;True;Est-Ouest;E;;1.0;;;;;False;22.0;;Gaz;Radiateur;;a;n;;a;2023-01;22050;0106;220500106;H;A;2205001;22402;53;22;8.52;6.0;0.036;9.26;19.0;0.039;2833.33
ag350126-371946772;pr;a;v;2;79;;4;236250;;;0;0;1;0;C;168;48.45398;-2.04769;Non;;;;;Sud;A;;1.0;;;False;;True;69.0;1030.0;;;;a;n;;a;2023-01;22050;0106;220500106;H;A;2205001;22402;53;22;8.52;6.0;0.034;9.26;19.0;0.037;2990.51
iad-france-1276615;pr;m;v;0;140;450.0;5;508000;;;0;0;0;0;D;142;48.45401;-2.0454;Non;2.0;;;False;0;D;1920.0;;;;False;;;;;Gaz;;;m;n;8.0;m;2023-01;22050;0106;220500106;H;A;2205001;22402;53;22;;;;8.54;12.0;0.028;3628.57
immo-facile-51643375;pr;a;v;0;115;;4;231000;;;0;0;0;1;C;152;48.4538;-2.04176;Oui;;;;True;0;C;;1.0;;;;;;15.0;1100.0;Gaz;;Individuel;a;n;;a;2023-01;22050;0106;220500106;H;A;2205001;22402;53;22;8.52;6.0;0.051;9.26;19.0;0.055;2008.7
immo-facile-51355487;pr;a;v;0;43;;2;141480;;;0;0;0;0;VI;;48.45535;-2.0573;Non;;;;;Sud-Ouest;VI;;;;;;;;11.0;85.0;;;;a;n;;a;2023-01;22050;0104;220500104;H;A;2205001;22402;53;22;11.13;47.0;0.041;11.43;156.0;0.042;3290.23
immo-facile-50822959;pr;m;v;0;38;51.0;3;75950;;;0;0;0;0;VI;;48.45424;-2.0456;Oui;1.0;;;;0;VI;;;;;;;;3.0;100.0;;;;a;n;;m;2023-01;22050;0106;220500106;H;A;2205001;22402;53;22;16.84;2.0;0.101;10.5;7.0;0.063;1998.68
safti-1-786972;pr;a;v;1;63;;3;181000;;;0;0;0;1;E;274;48.45362;-2.05868;Oui;4.0;;;False;Sud;B;1949.0;;;;False;;False;40.0;494.0;Électrique;;Individuel;m;n;;a;2023-01;22050;0104;220500104;H;A;2205001;22402;53;22;10.26;39.0;0.043;10.09;98.0;0.042;2873.02
guy-hoquet-immo-facile-6006526;pr;m;v;0;223;637.0;8;483000;;;0;0;0;0;E;315;48.45524;-2.05959;Non;2.0;;;;0;E;;1.0;;;;;;;;Gaz;;Individuel;a;n;;m;2023-01;22050;0104;220500104;H;A;2205001;22402;53;22;;;;;;;2165.92
hektor-daulyimmobilier-109;pr;a;v;1;90;;6;189000;;;0;0;0;2;VI;;48.45133;-2.0484;Non;3.0;;;False;Nord-Sud;VI;;2.0;;;;;False;14.0;;Gaz;;Individuel;a;n;;a;2023-01;22050;0107;220500107;H;A;2205001;22402;53;22;;;;;;;2100.0
guy-hoquet-immo-facile-6100655;pr;a;v;2;97;269.0;3;271500;;;0;0;1;1;VI;;48.45045;-2.05947;Non;2.0;;;True;0;VI;;1.0;;;False;;False;3.0;550.0;Gaz;;Individuel;a;n;;a;2023-01;22050;0107;220500107;H;A;2205001;22402;53;22;10.91;11.0;0.047;10.09;98.0;0.043;2798.97
ag060811-371734564;pr;a;v;1;43;;2;141480;;;0;0;1;0;E;264;48.44842;-2.04822;Non;2.0;;0.0;;Sud;B;;1.0;;;;;;11.0;84.96;Électrique;;;m;n;;a;2023-01;22050;0107;220500107;H;A;2205001;22402;53;22;11.29;26.0;0.041;11.43;156.0;0.042;3290.23
immo-facile-23516024;pr;a;v;2;145;;4;434720;;;0;0;1;1;D;219;48.45162;-2.04795;Non;2.0;;;True;Est-Ouest;D;1800.0;2.0;;;;;False;6.0;800.0;Gaz;Radiateur;Individuel;a;n;;a;2023-01;22050;0107;220500107;H;A;2205001;22402;53;22;8.28;4.0;0.033;9.26;19.0;0.037;2998.07
ag440414-372623902;pr;m;v;0;133;698.0;5;599844;;;0;0;2;0;C;138;48.4411;-2.06037;Non;1.0;;;;sud-ouest;C;;2.0;;;False;;;;;Gaz;;Individuel;m;n;;m;2023-01;22050;0201;220500201;H;A;2205001;22402;53;22;8.44;6.0;0.022;8.54;12.0;0.023;4510.11
immo-facile-51609642;pr;m;v;0;88;91.0;3;329175;;;0;0;1;0;D;196;48.46022;-2.05121;Non;2.0;;;;0;B;;1.0;;;;;;;;Électrique;;Individuel;a;n;16.0;m;2023-01;22050;0102;220500102;H;A;2205001;22402;53;22;12.6;1.0;0.04;10.5;7.0;0.034;3740.62
safti-1-785404;pr;m;v;0;155;2231.0;6;118950;;;0;0;0;1;E;274;48.45909;-2.05311;Non;;;1.0;False;0;B;1940.0;1.0;;;False;;;;;Électrique;;Individuel;m;n;;m;2023-01;22050;0102;220500102;H;A;2205001;22402;53;22;;;;8.72;2.0;0.136;767.42
ag065227-373205407;pr;m;v;0;160;1728.0;7;230020;;;0;0;0;1;NS;;48.48475;-2.29868;Oui;;;1.0;True;Est-Ouest;;;1.0;;;;;;;;;;;a;n;;m;2023-01;22205;0000;222050000;Z;Z;2220500;22000;53;22;;;;;;;1437.62
ag065227-371650993;pr;m;v;0;160;27540.0;8;265000;;;0;0;1;1;E;259;48.41955;-3.06;Non;;;3.0;True;Nord-Ouest;D;;3.0;;;;;;;;;;;a;n;10.0;m;2023-01;22284;0000;222840000;Z;Z;2228400;22000;53;22;;;;;;;1656.25
immo-facile-51619454;pr;m;v;0;135;6397.0;7;644800;;;0;0;1;1;D;160;48.39382;-2.33051;Non;1.0;;6.0;;Sud-Ouest;A;2000.0;2.0;1.0;;False;;;;;;Radiateur;Individuel;a;n;10.0;m;2023-01;22084;0000;220840000;Z;Z;2208400;22000;53;22;;;;;;;4776.3
iad-france-1277104;pr;m;v;0;500;;11;437500;;;0;0;0;0;D;227;48.41022;-2.30885;Non;;;;False;0;D;;;;;False;;;;;;;;m;n;;m;2023-01;22084;0000;220840000;Z;Z;2208400;22000;53;22;;;;;;;875.0
iad-france-1275080;pr;m;v;0;128;881.0;5;229900;;;0;0;0;0;E;285;48.50117;-2.24326;Non;1.0;;;False;0;B;1970.0;;;;False;;;;;Électrique;Radiateur;;m;n;8.0;m;2023-01;22014;0000;220140000;Z;Z;2201400;22000;53;22;;;;;;;1796.09
immo-facile-51700275;pr;m;v;0;241;2394.0;9;359840;;;0;0;3;0;D;206;48.48977;-2.26171;Non;;;;;0;B;;3.0;;;;;;;;;;Individuel;a;n;;m;2023-01;22014;0000;220140000;Z;Z;2201400;22000;53;22;;;;;;;1493.11
ag065227-372829537;pr;m;v;0;260;;8;154000;;;0;0;0;1;D;230;48.44896;-3.13477;Non;;;;True;sud-ouest;B;;1.0;;;;;;;;;;;a;n;;m;2023-01;22189;0000;221890000;Z;Z;2218900;22000;53;22;;;;;;;592.31
megagence-1-115969;pr;m;vp;0;244;1295.0;6;598000;;;0;0;0;4;NS;;48.80781;-3.37913;Non;;;5.0;False;0;NS;1996.0;6.0;;;False;;;;;;Sol;Collectif;m;n;;m;2023-01;22363;0000;223630000;Z;Z;2236300;22403;53;22;;;;;;;2450.82
megagence-1-114931;pr;m;vp;0;244;1295.0;6;698000;;;0;0;0;4;C;116;48.81193;-3.37857;Oui;;;5.0;False;0;A;1996.0;6.0;;;False;;;;;;Sol;Collectif;m;n;16.0;m;2023-01;22363;0000;223630000;Z;Z;2236300;22403;53;22;;;;;;;2860.66
safti-1-789827;pr;a;v;0;66;;4;394000;;;0;0;0;1;G;468;48.81137;-3.38062;Non;;;;False;0;C;1965.0;1.0;;;False;;False;6.0;395.0;Électrique;;Individuel;m;n;;a;2023-01;22363;0000;223630000;Z;Z;2236300;22403;53;22;;;;;;;5969.7
iad-france-1282487;pr;m;v;0;411;802.0;6;854000;;;0;0;0;0;B;107;48.47007;-2.88194;Oui;;;;False;0;A;;;;;False;;;;;Électrique;;;m;n;;m;2023-01;22287;0000;222870000;Z;Z;2228700;22000;53;22;;;;;;;2077.86
