idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
square-habitat-immo-facile-42386064;pr;a;l;0;23;;2;449;;;0;0;1;0;D;242;48.06231;-0.78029;0;3.0;;;;0;B;;1.0;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-02;53130;0102;531300102;H;H;5313001;53501;52;53
immo-facile-44197242;pr;a;l;2;91;;4;989;;;0;0;0;1;C;121;48.06112;-0.76261;0;6.0;;1.0;True;0;A;1993.0;2.0;;;;;True;;;Électrique;;Individuel;a;n;14.0;a;2025-02;53130;0109;531300109;H;H;5313001;53501;52;53
hektor-guedonlaval-47840;pr;a;l;3;40;;2;465;;;0;0;0;1;E;300;48.07019;-0.77315;0;4.0;;;True;0;B;;1.0;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-02;53130;0101;531300101;H;H;5313001;53501;52;53
ag694538-458627204;pr;a;l;2;39;;2;515;;;0;1;1;0;A;59;48.07795;-0.75387;0;;;1.0;;0;C;;1.0;;;;;True;;;Gaz;;Individuel;a;n;;a;2025-02;53130;0115;531300115;H;H;5313001;53501;52;53
square-habitat-immo-facile-43046027;pr;a;l;0;30;;2;530;;;0;0;1;0;B;78;48.07523;-0.76206;0;;;;;0;A;;1.0;;;;;;;;Électrique;;Individuel;a;n;;a;2025-02;53130;0106;531300106;H;H;5313001;53501;52;53
immo-facile-34589239;pr;a;l;0;34;;2;510;;;0;0;1;0;D;200;48.06639;-0.77851;0;;;;;0;D;;1.0;;;;;;;;;;Individuel;a;n;;a;2025-02;53130;0101;531300101;H;H;5313001;53501;52;53
hektor-guedonlaval-47839;pr;a;l;3;80;;3;740;;;0;0;0;1;E;259;48.0689;-0.77103;0;4.0;;;False;0;B;;1.0;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-02;53130;0101;531300101;H;H;5313001;53501;52;53
square-habitat-immo-facile-43045871;pr;a;l;1;26;;1;390;;;0;0;0;0;B;118;48.07567;-0.76149;0;5.0;;;;0;A;2024.0;;;;;;True;;;;;;a;n;8.0;a;2025-02;53130;0106;531300106;H;H;5313001;53501;52;53
hektor-guedonlaval-47861;pr;a;l;2;17;;1;350;;;0;0;1;0;D;276;48.06792;-0.77277;0;4.0;;;False;0;B;;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;;a;2025-02;53130;0101;531300101;H;H;5313001;53501;52;53
immo-facile-57902811;pr;a;l;1;84;;4;814;;;0;1;1;0;B;50;48.0618;-0.76093;0;5.0;;1.0;;0;B;;2.0;;;False;;True;;;Gaz;Radiateur;Individuel;a;n;7.0;a;2025-02;53130;0109;531300109;H;H;5313001;53501;52;53
citya-immobilier-100651-D-GES29631096-122;pr;a;l;3;38;;2;477;;;0;0;1;0;E;277;48.08509;-0.7756;0;4.0;;0.0;;0;B;;;0.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;;a;2025-02;53130;0113;531300113;H;H;5313001;53501;52;53
hektor-guedonlaval-47518;pr;a;l;2;41;;2;450;;;0;0;0;1;E;276;48.0689;-0.77103;0;4.0;;;False;0;B;;1.0;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-02;53130;0101;531300101;H;H;5313001;53501;52;53
hektor-guedonlaval-47407;pr;a;l;4;28;;1;426;;;0;0;0;1;D;263;48.07153;-0.76669;0;5.0;;1.0;False;0;B;;1.0;;;;;True;;;Électrique;Radiateur;Individuel;a;n;8.0;a;2025-02;53130;0106;531300106;H;H;5313001;53501;52;53
hektor-1948_EXPERTIMO22-191658;pr;a;l;3;91;;4;860;;;0;2;1;0;D;169;48.07147;-0.76633;0;5.0;;1.0;True;0;B;1961.0;1.0;;;;7.0;;;;Électrique;Radiateur;Individuel;m;n;14.0;a;2025-02;53130;0106;531300106;H;H;5313001;53501;52;53
hektor-guedonlaval-47666;pr;a;l;3;51;;2;513;;;0;0;0;1;D;201;48.07128;-0.76623;0;5.0;;;False;0;D;;1.0;;;;;True;;;Gaz;Radiateur;Individuel;a;n;;a;2025-02;53130;0106;531300106;H;H;5313001;53501;52;53
hektor-guedonlaval-47690;pr;a;l;1;36;;1;383;;;0;1;0;1;E;301;48.07291;-0.76649;0;4.0;;1.0;True;0;E;;1.0;;;;;False;;;Gaz;;Individuel;a;n;;a;2025-02;53130;0106;531300106;H;H;5313001;53501;52;53
ics-apa_LAVAL_loc-GES02600019-381;pr;a;l;1;45;;2;535;;;0;0;1;0;B;76;48.07533;-0.76895;0;4.0;;0.0;;0;A;2024.0;;0.0;;;;True;;;Électrique;Radiateur;Individuel;a;n;;a;2025-02;53130;0106;531300106;H;H;5313001;53501;52;53
square-habitat-immo-facile-43047738;pr;m;l;0;150;;5;920;;;0;0;0;0;C;91;47.827;-0.69699;0;;;;;0;C;;;;;;;;;;;;;a;n;8.0;m;2025-02;53062;0108;530620108;H;H;5306201;53302;52;53
hektor-ROUSSEAUX-283;pr;m;l;0;102;;4;785;;;0;0;1;0;D;208;47.87621;-0.39498;0;1.0;;;;0;B;2007.0;1.0;;;;;;;;Électrique;;Individuel;a;n;7.0;m;2025-02;53037;0000;530370000;Z;Z;5303700;53000;52;53
ladresse-1-adresse-13888334;pr;m;l;0;114;;5;875;;;0;0;1;1;C;124;47.92127;-0.6799;0;;;;;0;C;2000.0;2.0;1.0;;False;;;;;Gaz;Radiateur;Individuel;a;n;7.0;m;2025-02;53273;0000;532730000;Z;Z;5327300;53000;52;53
immo-facile-33853601;pr;m;l;0;67;600.0;3;570;;;0;0;1;0;D;236;48.31784;-0.65002;0;;;;True;0;B;1965.0;1.0;;;False;;;;;Fioul;Radiateur;Individuel;a;n;7.0;m;2025-02;53174;0000;531740000;Z;Z;5317400;53000;52;53
hektor-guedonlaval-47750;pr;a;l;0;31;;2;427;;;0;0;0;1;0;;48.12797;-0.77778;0;;;;False;0;;1949.0;;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-02;53229;0000;532290000;Z;Z;5322900;53000;52;53
ladresse-1-adresse-13886037;pr;m;l;0;119;;5;1015;;;0;0;0;1;C;120;48.07762;-0.81679;0;1.0;;;;0;C;2007.0;1.0;1.0;;False;;;;;Gaz;Radiateur;Individuel;a;n;8.0;m;2025-02;53201;0102;532010102;H;H;5320101;53501;52;53
immo-facile-57830518;pr;a;l;0;25;25.87;2;495;;;0;0;1;0;NS;;48.06843;-0.84135;0;;;;;Est-Ouest;VI;;;;;;;False;;;Électrique;Radiateur;Individuel;a;n;8.0;a;2025-02;53201;0101;532010101;H;H;5320101;53501;52;53
immo-facile-57859451;pr;a;l;1;37;37.81;2;615;;;0;0;1;0;D;;48.06843;-0.84135;0;3.0;;;;Est-Ouest;B;;1.0;;;False;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2025-02;53201;0101;532010101;H;H;5320101;53501;52;53
citya-immobilier-100651-D-GES43470020-122;pr;a;l;0;24;;1;595;;;0;0;1;0;C;145;48.08688;-0.75358;0;2.0;;1.0;;0;C;;;0.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;;a;2025-02;53054;0102;530540102;H;H;5305401;53501;52;53
citya-immobilier-100651-D-GES43470016-122;pr;a;l;0;27;;1;590;;;0;0;1;0;C;137;48.08688;-0.75358;0;2.0;;1.0;;0;B;;;0.0;;;;False;;;Gaz;Radiateur;Collectif;a;n;29.0;a;2025-01;53054;0102;530540102;H;H;5305401;53501;52;53
hektor-guedonlaval-47009;pr;a;l;1;32;;1;485;;;0;0;1;0;0;;48.07097;-0.78073;0;4.0;;1.0;False;0;;2024.0;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;14.0;a;2025-01;53130;0104;531300104;H;H;5313001;53501;52;53
