idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
citya-immobilier-0988457-GES00220004-535;pr;a;l;0;47;;2;547;;;0;0;0;1;D;191;50.09167;1.54147;0;4.0;;1.0;;0;B;;;1.0;;;;False;;;Électrique;Convecteur;Individuel;a;n;8.0;a;2025-12;80368;0000;803680000;Z;Z;8036800;80205;32;80
netty-hautepicardie3-appt-2167;pr;a;l;0;44;;2;473;;;0;0;0;1;D;242;49.81233;2.70055;0;3.0;;;True;0;B;1930.0;;;;;;False;;;Électrique;;Individuel;a;n;;a;2025-12;80680;0000;806800000;Z;Z;8068000;80114;32;80
century-21-202_3775_3646;pr;a;l;0;41;;2;650;;;0;0;1;0;E;308;50.1059;1.83074;0;4.0;;0.0;;0;E;;1.0;0.0;;False;;False;;;Gaz;Radiateur;Individuel;a;n;;a;2025-12;80001;0102;800010102;H;H;8000101;80401;32;80
century-21-202_3775_3708;pr;a;l;2;39;;2;480;;;0;0;0;1;D;223;50.10676;1.83283;0;3.0;;0.0;;0;D;;;0.0;;False;;False;;;Gaz;Radiateur;Individuel;a;n;;a;2025-12;80001;0102;800010102;H;H;8000101;80401;32;80
consortium-170918871;pr;a;l;0;36;;2;610;;;0;0;0;0;D;243;50.10548;1.83736;0;;;;;0;B;;;;;;;;;;;;;a;n;;a;2025-12;80001;0101;800010101;H;H;8000101;80401;32;80
ag801258-502501523;pr;m;l;0;135;;4;1350;;;0;0;1;1;C;129;49.85575;2.18104;0;;;1.0;;0;D;;1.0;;;;;;;;Gaz;;Individuel;a;n;;m;2025-12;80198;0000;801980000;Z;Z;8019800;80000;32;80
netty-company40530nca-appt-6627;pr;a;l;0;36;;2;550;;;0;0;1;0;D;209;50.01242;1.9907;0;;;;False;0;A;;1.0;;;;;False;;;Électrique;;Individuel;a;n;;a;2025-12;80488;0000;804880000;Z;Z;8048800;80108;32;80
guy-hoquet-immo-facile-7450856;pr;a;l;0;79;;3;507;;;0;0;1;0;E;327;49.87796;2.70911;0;;;1.0;;0;B;;1.0;;;;;;;;;Pompe à chaleur;Individuel;a;n;8.0;a;2025-12;80644;0000;806440000;Z;Z;8064400;80000;32;80
ag800653-500607638;pr;a;l;0;40;;2;605;;;0;0;1;0;C;83;49.90232;2.32142;0;4.0;;;;0;C;;;;;;;True;;;Gaz;;Individuel;a;n;8.0;a;2025-12;80674;0000;806740000;Z;Z;8067400;80601;32;80
ag762187-501010070;pr;a;l;0;26;;2;370;;;0;0;1;0;F;411;50.06755;1.39013;0;;;0.0;False;0;F;;;;;False;;False;;;;;Individuel;a;n;;a;2025-12;80533;0000;805330000;Z;Z;8053300;00453;32;80
