idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
ag340369-269836307;pr;a;v;0;63;;3;245647;;;0;1;0;0;NS;;49.12037;2.41421;Non;;;1.0;;Nord;;;;;;;;;;;;;;network;n;;a;2021-02;95352;0000;953520000;Z;Z;9535200;95302;11;95;16.23;9.0;0.05;16.23;9.0;0.05;3899.16
ag340369-269838764;pr;a;v;0;117;;4;405144;;;0;1;0;0;NS;;49.12037;2.41421;Non;;;2.0;;Nord;;;;;;;;;;;;;;network;n;;a;2021-02;95352;0000;953520000;Z;Z;9535200;95302;11;95;16.38;2.0;0.057;16.38;2.0;0.057;3462.77
ag440414-287007020;pr;m;v;0;43;62.0;1;56000;;;0;0;0;0;NS;;49.14976;1.99729;Non;;;;;Est-Ouest;;;;;;False;;;;;;;;m;n;;m;2021-02;95370;0000;953700000;Z;Z;9537000;95104;11;95;;;;;;;1302.33
ag440414-287641256;pr;m;v;0;130;860.0;5;384763;;;0;0;1;0;D;175;49.14558;1.97308;Non;;;1.0;;Est-Ouest;B;;1.0;;;False;;;;;;;Individuel;m;n;;m;2021-02;95370;0000;953700000;Z;Z;9537000;95104;11;95;11.89;1.0;0.048;11.89;1.0;0.048;2959.72
ag340369-276423944;pr;a;v;2;60;;1;149100;;;0;0;1;0;E;284.0;49.06113;2.29957;Oui;2.0;;1.0;;Ouest;C;;1.0;;;;;;25.0;1656.0;Électrique;;;network;n;;a;2021-02;95042;0000;950420000;Z;Z;9504200;95203;11;95;19.26;5.0;0.093;19.26;5.0;0.093;2485.0
orpi-1-010081E1U4NK;pr;m;v;0;65;240.0;3;220000;;;0;0;0;1;D;212.0;49.04213;2.4643;Oui;;;;;0;E;;;;;;;;;;;;Individuel;a;n;;m;2021-02;95280;0104;952800104;H;H;9528001;00851;11;95;;;;13.57;3.0;0.048;3384.62
laforet-immo-facile-18082064;pr;m;v;0;60;400.0;4;313000;;;0;0;1;0;VI;;49.03212;2.48057;Oui;;;3.0;;0;VI;1960.0;1.0;1.0;;;;;;;Gaz;Radiateur;Individuel;a;n;;m;2021-02;95280;0101;952800101;H;H;9528001;00851;11;95;;;;;;;5216.67
immo-facile-43593559;pr;m;v;0;82;501.0;4;323500;;;0;0;0;1;D;230;49.03476;2.45704;Non;1.0;;3.0;True;0;A;1986.0;2.0;;;False;;;;;;Radiateur;Individuel;a;n;;m;2021-02;95280;0107;952800107;H;H;9528001;00851;11;95;;;;;;;3945.12
century-21-202_2868_5048;pr;a;v;3;68;;4;150000;;;0;0;1;0;E;250;48.97935;2.39092;Oui;5.0;;0.0;;0;F;1970.0;;0.0;;False;;False;80.0;2160.0;Électrique;;Collectif;a;n;;a;2021-02;95585;0102;955850102;H;A;9558501;00851;11;95;15.91;1.0;0.087;12.97;17.0;0.071;2205.88
immo-facile-43781849;pr;m;v;0;155;737.0;7;469000;;;0;0;0;2;D;195.0;48.98908;2.36939;Non;1.0;;5.0;;0;E;1960.0;2.0;;;False;;;;;Gaz;Radiateur;Individuel;a;n;;m;2021-02;95585;0117;955850117;H;A;9558501;00851;11;95;;;;;;;3025.81
ag340369-277003523;pr;a;v;6;112;;5;189000;;;0;1;1;1;D;225;48.97862;2.37756;Oui;7.0;;1.0;True;Est-Ouest;B;;1.0;;;;;True;200.0;4800.0;Gaz;;;network;n;;a;2021-02;95585;0108;955850108;H;A;9558501;00851;11;95;;;;12.2;5.0;0.087;1687.5
immo-facile-43827961;pr;a;v;0;61;;3;313000;;;0;0;0;1;VI;;49.00797;2.29445;Non;3.0;;2.0;;0;VI;;1.0;;;;;;;;;;;a;n;;a;2021-02;95014;0000;950140000;Z;Z;9501400;00851;11;95;13.68;1.0;0.032;13.68;1.0;0.032;5131.15
century-21-202_3037_2606;pr;m;v;0;72;714.0;4;316000;;;0;0;1;0;E;250.0;49.12804;2.4309;Oui;;;4.0;;0;C;1986.0;1.0;1.0;;;;;;;Électrique;;Individuel;a;n;;m;2021-02;95149;0000;951490000;Z;Z;9514900;95302;11;95;;;;;;;4388.89
immo-facile-2352339;pr;a;v;0;62;;3;197000;;;0;0;0;1;E;242.0;48.99782;2.37454;Oui;3.0;;;;Est-Ouest;C;1970.0;;;;;;False;40.0;2000.0;Électrique;;Individuel;a;n;;a;2021-02;95585;0116;955850116;H;A;9558501;00851;11;95;14.44;1.0;0.055;13.92;38.0;0.053;3177.42
hektor-memmoimmo-25;pr;m;v;0;80;235.0;4;344500;;;0;0;0;0;C;125.0;48.98809;2.37648;Non;2.0;;;False;0;D;2007.0;;;;;;;;200.0;;;;a;n;;m;2021-02;95585;0115;955850115;H;A;9558501;00851;11;95;;;;;;;4306.25
entities-1039637-2337357;pr;m;v;0;140;302.0;8;350000;;;0;0;0;0;A;;49.15324;2.27182;0;;;;;0;;;;;;;;;;;;;;cm;o;;m;2021-02;95487;0104;954870104;H;H;9548701;00459;11;95;;;;;;;2500.0
mgc-ancien-266453;pr;m;v;0;50;;2;150000;;;0;0;0;0;D;;49.10669;2.34601;Oui;;;;False;0;E;1994.0;;;;False;;;;;Gaz;;Individuel;a;n;;m;2021-02;95566;0000;955660000;Z;Z;9556600;95102;11;95;;;;;;;3000.0
immo-facile-43631756;pr;m;v;0;95;74.0;6;199000;;;0;0;2;0;D;210;49.10171;2.33968;Non;2.0;;;;0;E;1920.0;2.0;;;;;;;;Gaz;Radiateur;Individuel;a;n;;m;2021-02;95566;0000;955660000;Z;Z;9556600;95102;11;95;;;;;;;2094.74
immo-facile-43065926;pr;m;v;0;117;156.0;6;221000;;;0;0;1;1;C;136;49.10714;2.3535;Oui;2.0;;;True;Nord;D;1900.0;2.0;;;False;;;;;Gaz;;Individuel;a;n;;m;2021-02;95566;0000;955660000;Z;Z;9556600;95102;11;95;;;;;;;1888.89
immo-facile-43679879;pr;a;v;1;62;120.0;3;349900;;;0;0;1;0;VI;;49.11873;2.22679;Non;2.0;;1.0;True;0;VI;1996.0;1.0;;;True;;;37.0;1.0;Gaz;;;a;n;;a;2021-02;95313;0102;953130102;H;H;9531301;00851;11;95;15.5;3.0;0.033;15.56;16.0;0.033;5643.55
entities-1038395-3310255;pr;m;v;0;98;340.0;6;367000;;;0;0;0;1;0;;49.11214;2.21728;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;;m;2021-02;95313;0101;953130101;H;H;9531301;00851;11;95;;;;;;;3744.9
ag750949-287335334;pr;m;v;0;60;208.0;3;136400;;;0;0;1;0;F;410;49.13988;1.65686;Oui;2.0;;;True;0;C;;2.0;;;;;;;;Électrique;;;a;n;;m;2021-02;95101;0000;951010000;Z;Z;9510100;95000;11;95;;;;;;;2273.33
ag440414-287299760;pr;a;v;3;61;;3;239000;;;0;0;0;1;NS;;49.14893;2.28767;Oui;3.0;;2.0;;0;;;2.0;;;False;;False;69.0;;Gaz;;Individuel;m;n;;a;2021-02;95487;0105;954870105;H;H;9548701;00459;11;95;13.58;16.0;0.042;14.1;35.0;0.043;3918.03
ag340369-287627042;pr;m;v;0;70;96.0;3;240000;;;0;0;0;1;E;293.0;49.10184;2.13221;Oui;;;2.0;;0;C;;1.0;;;;;;;;Électrique;;;network;n;;m;2021-02;95308;0000;953080000;Z;Z;9530800;95000;11;95;13.42;1.0;0.047;13.42;1.0;0.047;3428.57
immo-facile-43620411;pr;m;v;0;91;165.0;5;389000;;;0;0;0;0;D;204;48.96505;2.20685;Oui;;;;;0;B;1997.0;;;;;;;21.0;424.0;;;;a;n;;m;2021-02;95176;0103;951760103;H;H;9517601;00851;11;95;13.85;1.0;0.039;15.09;3.0;0.042;4274.73
rodacom-4488799;pr;a;v;0;41;;2;180000;;;0;0;1;0;0;;48.98068;2.20939;Non;2.0;;;False;Ouest;;;1.0;;;;;False;;;Électrique;Radiateur;Individuel;a;n;;a;2021-02;95176;0102;951760102;H;H;9517601;00851;11;95;20.24;9.0;0.055;18.58;64.0;0.051;4390.24
rodacom-4575277;pr;a;v;0;63;;3;309000;;;0;0;0;1;B;67.0;48.9575;2.19645;Non;;;2.0;False;Sud;C;2018.0;1.0;;;;;True;;;Gaz;Radiateur;Individuel;a;n;;a;2021-02;95176;0103;951760103;H;H;9517601;00851;11;95;18.69;8.0;0.046;15.93;28.0;0.039;4904.76
rodacom-4610536;pr;a;v;2;62;;3;309500;;;0;1;0;1;0;;48.95424;2.19533;Oui;3.0;;;False;Sud;;2015.0;1.0;;;;6.0;True;;;Gaz;;Individuel;a;n;;a;2021-02;95176;0103;951760103;H;H;9517601;00851;11;95;18.69;8.0;0.045;15.93;28.0;0.038;4991.94
rodacom-4611736;pr;a;v;0;60;;4;259000;;;0;0;0;1;0;;48.97853;2.20405;Oui;3.0;;;True;Nord-Ouest;;;1.0;;;;;False;;;Gaz;Radiateur;Individuel;a;n;;a;2021-02;95176;0101;951760101;H;H;9517601;00851;11;95;;;;18.25;3.0;0.051;4316.67
immo-facile-43355297;pr;a;v;1;42;;2;135000;;;0;0;0;0;VI;;49.07777;2.03188;Oui;1.0;;;;0;G;;;;;;;;;;;;;a;n;;a;2021-02;95078;0000;950780000;Z;Z;9507800;95000;11;95;11.72;5.0;0.044;11.72;5.0;0.044;3214.29
ag440414-287486468;pr;a;v;0;43;;2;168000;;;0;0;0;1;NS;;49.07211;2.56473;Oui;2.0;;1.0;;0;;;1.0;;;False;;False;115.0;960.0;Gaz;;Individuel;m;n;;a;2021-02;95641;0000;956410000;Z;Z;9564100;95101;11;95;16.19;10.0;0.05;16.19;10.0;0.05;3906.98
orpi-1-010923E1TMOV;pr;a;v;1;25;;1;129500;;;0;0;0;1;E;303;49.06988;2.56718;Oui;2.0;;2.0;;0;C;;;;;;;True;131.0;908.08;;;Individuel;a;n;;a;2021-02;95641;0000;956410000;Z;Z;9564100;95101;11;95;22.96;3.0;0.053;22.96;3.0;0.053;5180.0
orpi-1-084044E1TRKA;pr;m;v;0;164;732.0;6;690000;;;0;0;0;2;E;256.3;48.97838;2.18658;Oui;;;5.0;;0;C;;;;;;;;;;;;Individuel;a;n;;m;2021-02;95176;0106;951760106;H;H;9517601;00851;11;95;;;;18.18;1.0;0.052;4207.32
