idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
ag760917-287923457;pr;m;v;0;240;3244.0;7;415000;;;0;1;0;1;C;120;49.47894;0.80528;Non;2.0;;5.0;;Sud;D;;2.0;;;;;;;;Fioul;;Individuel;a;n;;m;2021-02;76709;0102;767090102;H;H;7670901;76204;28;76;;;;;;;1729.17
hektor-caudebec-2367;pr;m;v;0;78;382.0;4;152540;;;0;0;1;0;E;316.5;49.47362;0.81017;Oui;1.0;;;False;0;B;;1.0;1.0;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2021-02;76709;0102;767090102;H;H;7670901;76204;28;76;;;;;;;1955.64
adapt-immo-760073211;pr;m;v;0;205;2700.0;6;365000;;;0;0;1;1;VI;;49.70594;0.3683;Oui;2.0;;;False;0;VI;1950.0;2.0;;;;;;;;Gaz;;;a;n;;m;2021-02;76240;0000;762400000;Z;Z;7624000;76000;28;76;;;;;;;1780.49
adapt-immo-760073218;pr;m;v;0;172;1988.0;8;329900;;;0;0;1;1;C;149;49.69758;0.36044;Non;2.0;;5.0;False;0;A;1866.0;3.0;;;;;;;;Électrique;;;a;n;;m;2021-02;76240;0000;762400000;Z;Z;7624000;76000;28;76;;;;;;;1918.02
ag751938-287352236;pr;m;v;0;205;;7;458000;;;0;1;0;0;E;330;49.6039;0.20841;Non;;;1.0;True;sud-ouest;B;;;;;;;;;;Électrique;;Individuel;a;n;;m;2021-02;76615;0000;766150000;Z;Z;7661500;76701;28;76;;;;;;;2234.15
ag340369-285895682;pr;m;v;0;186;294.0;6;149400;;;0;0;1;1;E;242.0;49.67465;1.28551;Oui;;;20.0;True;sud-est;F;;3.0;;;;;;;;Bois, Fioul;Cheminée;;network;n;;m;2021-02;76648;0000;766480000;Z;Z;7664800;76111;28;76;;;;;;;803.23
ag750949-287451032;pr;m;v;0;202;1010.0;7;518000;;;0;0;0;2;C;98;49.50785;1.07929;Non;1.0;;1.0;False;0;A;;2.0;;;;;;;;;;;a;n;;m;2021-02;76367;0000;763670000;Z;Z;7636700;76106;28;76;;;;;;;2564.36
ag440414-288006311;pr;m;v;0;240;1090.0;10;299000;;;0;0;0;2;E;247;49.4845;1.71611;Non;1.0;;1.0;;Sud;C;;2.0;;;False;;;;;Électrique;;Individuel;m;n;;m;2021-02;76312;0101;763120101;H;H;7631201;76205;28;76;;;;;;;1245.83
century-21-202_3427_1098;pr;m;v;0;99;215.0;6;158500;;;0;0;2;0;G;559;49.48294;1.73172;Oui;;;0.0;;0;G;;2.0;0.0;;;;;;;Fioul;Radiateur;Central;a;n;;m;2021-02;76312;0101;763120101;H;H;7631201;76205;28;76;;;;;;;1601.01
ag440414-288006275;pr;m;v;0;250;4000.0;8;374500;;;0;0;1;1;D;153;49.49384;1.70283;Non;1.0;;;True;Sud;D;;3.0;;;True;;;;;Fioul;;;m;n;;m;2021-02;76312;0101;763120101;H;H;7631201;76205;28;76;;;;;;;1498.0
orpi-1-040938E1S04Z;pr;m;v;0;164;637.0;6;249000;;;0;0;0;2;B;83;49.47668;1.72114;Non;;;2.0;;0;C;;;;;;;;;;;;Individuel;a;n;;m;2021-02;76312;0103;763120103;H;H;7631201;76205;28;76;;;;;;;1518.29
entities-1038384-3307604;pr;m;v;0;75;1300.0;4;167868;;;0;0;0;1;0;;49.47927;1.72361;0;;;;;0;;;;;;;;;;;;;;cm;o;;m;2021-02;76312;0103;763120103;H;H;7631201;76205;28;76;;;;7.5;2.0;0.04;2238.24
century-21-202_3427_1107;pr;m;v;0;75;10840.0;6;169500;;;0;0;1;0;0;;49.46659;1.72413;Oui;;;0.0;;0;;;;0.0;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2021-02;76312;0103;763120103;H;H;7631201;76205;28;76;;;;;;;2260.0
citya-immobilier-502027-TAPP443957;pr;a;v;0;11;;1;44500;;;0;0;1;0;E;272;49.45238;1.1008;Oui;;;0.0;;0;B;;;0.0;;;;False;22.0;464.0;;;;a;n;;a;2021-02;76540;0503;765400503;H;H;7654001;00755;28;76;17.37;18.0;0.052;17.7;1554.0;0.052;4045.45
century-21-202_3453_308;pr;m;v;0;183;871.0;6;231000;;;0;0;2;0;C;103;49.57176;0.48073;Non;;;0.0;;0;D;2009.0;2.0;0.0;;;;;;;Gaz;;Individuel;a;n;;m;2021-02;76114;0104;761140104;H;H;7611401;76302;28;76;;;;;;;1262.3
ag761354-286978676;pr;m;v;0;50;600.0;4;151500;;;0;0;1;0;NS;;49.57713;0.46885;Non;2.0;;;True;0;;;1.0;;;;;;;;Gaz;;;a;n;;m;2021-02;76114;0102;761140102;H;H;7611401;76302;28;76;;;;8.75;2.0;0.035;3030.0
ag761354-287974247;pr;m;v;0;80;285.0;4;143500;;;0;0;1;1;D;218;49.57511;0.48433;Oui;1.0;;1.0;;Sud;E;;1.0;;;;;;;;Électrique;;Individuel;a;n;;m;2021-02;76114;0102;761140102;H;H;7611401;76302;28;76;;;;8.75;2.0;0.059;1793.75
ag761149-287237477;pr;m;v;0;152;509.0;7;399000;;;0;0;2;1;D;201;49.38141;1.02937;Non;1.0;;;;0;E;;;;;;;;;;Fioul;Radiateur;Individuel;a;n;;m;2021-02;76497;0101;764970101;H;H;7649701;00755;28;76;;;;;;;2625.0
laforet-immo-facile-19856943;pr;m;v;0;153;994.0;6;392000;;;0;0;1;1;B;64.0;49.37027;1.23534;Oui;1.0;;3.0;;0;B;2008.0;3.0;2.0;;;;;;;Gaz;;Individuel;a;n;;m;2021-02;76464;0000;764640000;Z;Z;7646400;76000;28;76;;;;;;;2562.09
laforet-immo-facile-19856965;pr;m;v;0;153;994.0;6;392000;;;0;0;1;1;B;64.0;49.36793;1.23312;Oui;1.0;;3.0;;0;B;2008.0;3.0;2.0;;;;;;;Gaz;;Individuel;a;n;;m;2021-02;76464;0000;764640000;Z;Z;7646400;76000;28;76;;;;;;;2562.09
laforet-immo-facile-19841632;pr;m;v;0;153;994.0;6;392000;;;0;0;1;1;B;64.0;49.36833;1.23393;Oui;1.0;;3.0;;0;B;2008.0;3.0;2.0;;;;;;;Gaz;;Individuel;a;n;;m;2021-02;76464;0000;764640000;Z;Z;7646400;76000;28;76;;;;;;;2562.09
adapt-immo-750227654;pr;m;v;0;152;1350.0;6;200000;;;0;0;2;1;VI;;49.57242;1.49529;Non;1.0;;4.0;False;0;VI;2010.0;2.0;;;;;;;;Gaz;;;m;n;;m;2021-02;76544;0000;765440000;Z;Z;7654400;76000;28;76;;;;;;;1315.79
immo-facile-43714520;pr;m;v;0;154;4098.0;4;340000;;;0;0;1;1;D;180;49.48671;1.16088;Non;1.0;;;;0;B;;2.0;;;;;;;;;;Individuel;a;n;;m;2021-02;76273;0000;762730000;Z;Z;7627300;00755;28;76;;;;;;;2207.79
ag340369-270141443;pr;a;v;1;43;;2;149000;;;0;0;0;0;NS;;49.46989;1.05141;Non;3.0;;0.0;;Nord;;;;;;;;;;;;;;network;n;;a;2021-02;76216;0101;762160101;H;H;7621601;00755;28;76;11.29;19.0;0.039;11.99;62.0;0.042;3465.12
ag340369-270188258;pr;a;v;1;44;;2;149000;;;0;0;0;0;NS;;49.46989;1.05141;Non;3.0;;0.0;;Nord;;;;;;;;;;;;;;network;n;;a;2021-02;76216;0101;762160101;H;H;7621601;00755;28;76;11.29;19.0;0.04;11.99;62.0;0.042;3386.36
ag340369-217042845;pr;a;v;1;42;;2;149000;;;0;0;0;0;NS;;49.46989;1.05141;Non;3.0;;0.0;;Nord;;;;;;;;;;;;;;network;n;;a;2021-02;76216;0101;762160101;H;H;7621601;00755;28;76;11.29;19.0;0.038;11.99;62.0;0.041;3547.62
immo-facile-2358667;pr;a;v;2;66;;4;91000;;;0;0;0;1;D;165.0;49.4725;1.04062;Non;3.0;;1.0;True;Ouest;E;1970.0;1.0;;;;;False;144.0;1800.0;Gaz;Radiateur;Collectif;a;n;;a;2021-02;76216;0101;762160101;H;H;7621601;00755;28;76;10.36;5.0;0.09;9.7;11.0;0.084;1378.79
century-21-202_676_29854;pr;a;v;6;64;;3;123000;;;0;0;0;1;F;412;49.4632;1.06019;Oui;6.0;;1.0;;0;D;1974.0;;0.0;;False;;True;40.0;1500.0;Électrique;;;a;n;;a;2021-02;76216;0103;762160103;H;H;7621601;00755;28;76;10.68;33.0;0.067;10.59;59.0;0.066;1921.88
ag340369-270036083;pr;a;v;0;57;;3;177000;;;0;0;0;0;NS;;49.46009;1.05946;Non;;;1.0;;Nord;;;;;;;;;;;;;;network;n;;a;2021-02;76216;0103;762160103;H;H;7621601;00755;28;76;10.68;33.0;0.041;10.59;59.0;0.041;3105.26
ag750949-287337401;pr;m;v;0;147;19000.0;4;250000;;;0;0;0;1;D;218;49.61571;1.53749;Non;;;;False;0;B;;1.0;;;;;;;;;;;a;n;;m;2021-02;76276;0000;762760000;Z;Z;7627600;76201;28;76;;;;;;;1700.68
adapt-immo-750227655;pr;m;v;0;150;1800.0;6;250000;;;0;0;1;0;C;133.0;49.46369;0.85007;Non;1.0;;5.0;True;0;D;;1.0;;;;;;;;;;;m;n;;m;2021-02;76222;0000;762220000;Z;Z;7622200;76118;28;76;;;;;;;1666.67
adapt-immo-760073216;pr;m;v;0;141;;5;278250;;;0;0;0;2;NS;;49.85359;0.84743;Non;1.0;;;False;0;NS;1800.0;2.0;;;;;;;;;;;a;n;;m;2021-02;76172;0000;761720000;Z;Z;7617200;76000;28;76;;;;;;;1973.4
entities-1038374-3309181;pr;m;v;0;148;1400.0;5;247000;;;0;0;0;1;0;;49.66653;1.16896;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;;m;2021-02;76138;0000;761380000;Z;Z;7613800;76000;28;76;;;;;;;1668.92
entities-1038389-3307356;pr;m;v;0;148;1200.0;5;265000;;;0;0;0;1;0;;49.5839;1.35622;0;1.0;;;;0;;;;;;;;;;;;;;cm;o;;m;2021-02;76146;0000;761460000;Z;Z;7614600;76000;28;76;;;;;;;1790.54
ag340369-285239432;pr;a;v;0;46;;2;117700;;;0;1;0;1;E;245.0;49.40257;1.12474;Oui;;;0.0;;Sud;C;;;;;;;;156.0;792.0;;;;network;n;;a;2021-02;76005;0000;760050000;Z;Z;7600500;00755;28;76;12.02;54.0;0.056;12.02;54.0;0.056;2558.7
hektor-caudebec-2370;pr;m;v;0;135;1000.0;6;219660;;;0;0;0;1;E;303.9;49.52984;0.6465;Non;;;;False;0;C;1986.0;1.0;;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2021-02;76022;0000;760220000;Z;Z;7602200;76000;28;76;;;;;;;1627.11
ag750949-287451038;pr;m;v;0;202;1010.0;7;518000;;;0;0;0;2;C;98;49.47478;1.07405;Non;1.0;;1.0;False;0;A;;2.0;;;;;;;;;;;a;n;;m;2021-02;76451;0304;764510304;H;H;7645101;00755;28;76;8.47;1.0;0.04;8.73;2.0;0.041;2564.36
laforet-immo-facile-19770573;pr;m;v;0;132;388.0;6;420000;;;0;0;1;0;D;183;49.4605;1.08369;Non;;;;;0;D;1970.0;2.0;1.0;;;;;;;Gaz;Radiateur;Individuel;a;n;;m;2021-02;76451;0301;764510301;H;H;7645101;00755;28;76;10.53;1.0;0.04;11.1;4.0;0.042;3181.82
century-21-202_676_29833;pr;a;v;3;66;;4;143000;;;0;0;1;0;0;;49.46666;1.07943;Non;4.0;;0.0;;0;;;1.0;0.0;;False;;False;1.0;1.0;Gaz;Sol, Chaudière;Collectif;a;n;;a;2021-02;76451;0101;764510101;H;H;7645101;00755;28;76;10.47;7.0;0.058;10.43;57.0;0.058;2166.67
immo-facile-43720835;pr;m;v;0;94;90.0;4;295000;;;0;0;1;0;VI;;49.45416;1.08252;Non;2.0;;;False;0;G;;1.0;1.0;;False;;;;;Gaz;Radiateur;Individuel;a;n;;m;2021-02;76451;0103;764510103;H;H;7645101;00755;28;76;14.14;1.0;0.054;11.36;14.0;0.043;3138.3
immo-facile-43714365;pr;m;v;0;87;206.0;4;295000;;;0;0;1;0;VI;;49.45583;1.07325;Non;3.0;;2.0;;0;VI;;1.0;;;False;;;;;Gaz;Radiateur;Individuel;a;n;;m;2021-02;76451;0103;764510103;H;H;7645101;00755;28;76;14.14;1.0;0.05;11.36;14.0;0.04;3390.8
immo-facile-43830442;pr;a;v;0;197;;6;630000;;;0;0;1;1;D;189;49.46866;1.07796;Non;;;2.0;True;0;C;1986.0;4.0;;;;;True;15.0;4700.0;Électrique;;Individuel;a;n;;a;2021-02;76451;0101;764510101;H;H;7645101;00755;28;76;;;;9.62;3.0;0.036;3197.97
ag340369-270326318;pr;a;v;4;98;;5;410000;;;0;0;0;0;NS;;49.46992;1.06382;Non;;;2.0;;Ouest;;;;;;;;;;;;;;network;n;;a;2021-02;76451;0204;764510204;H;H;7645101;00755;28;76;7.84;2.0;0.022;6.18;18.0;0.018;4183.67
ag340369-270321191;pr;a;v;2;84;;4;305000;;;0;0;0;0;NS;;49.46992;1.06382;Non;;;2.0;;Est;;;;;;;;;;;;;;network;n;;a;2021-02;76451;0204;764510204;H;H;7645101;00755;28;76;10.46;12.0;0.035;10.43;57.0;0.034;3630.95
immo-facile-2347296;pr;a;v;2;62;;2;272900;;;0;0;0;1;VI;;49.46013;1.06778;Non;4.0;;1.0;False;Sud;G;2023.0;1.0;1.0;;True;;True;28.0;780.0;Gaz;Radiateur;Collectif;a;o;;a;2021-02;76451;0201;764510201;H;H;7645101;00755;28;76;12.0;7.0;0.033;12.94;80.0;0.035;4401.61
immo-facile-2347288;pr;a;v;0;77;;3;338900;;;0;0;0;1;VI;;49.46013;1.06778;Non;4.0;;1.0;False;Sud;G;2023.0;1.0;1.0;;True;;True;28.0;780.0;Gaz;Radiateur;Collectif;a;o;;a;2021-02;76451;0201;764510201;H;H;7645101;00755;28;76;10.86;2.0;0.03;11.11;84.0;0.03;4401.3
immo-facile-2347299;pr;a;v;3;121;;6;541900;;;0;0;0;1;VI;;49.46013;1.06778;Non;4.0;;1.0;False;Sud;G;2023.0;1.0;1.0;;True;;True;28.0;780.0;Gaz;Radiateur;Collectif;a;o;;a;2021-02;76451;0201;764510201;H;H;7645101;00755;28;76;;;;9.62;3.0;0.026;4478.51
immo-facile-2347294;pr;a;v;1;62;;3;268900;;;0;0;0;1;VI;;49.46013;1.06778;Non;4.0;;1.0;False;Sud;G;2023.0;1.0;1.0;;True;;True;28.0;780.0;Gaz;Radiateur;Collectif;a;o;;a;2021-02;76451;0201;764510201;H;H;7645101;00755;28;76;10.86;2.0;0.03;11.11;84.0;0.031;4337.1
immo-facile-2338409;pr;a;v;0;61;;3;263898;;;0;0;0;1;VI;;49.46013;1.06778;Non;4.0;;1.0;False;Sud;G;2023.0;1.0;1.0;;True;;True;28.0;780.0;Gaz;Radiateur;;a;o;;a;2021-02;76451;0201;764510201;H;H;7645101;00755;28;76;10.86;2.0;0.03;11.11;84.0;0.031;4326.2
immo-facile-2338480;pr;a;v;1;48;;2;199900;;;0;0;0;1;VI;;49.46013;1.06778;Non;4.0;;1.0;False;Sud;G;2023.0;1.0;1.0;;True;;True;28.0;780.0;Gaz;Radiateur;;a;o;;a;2021-02;76451;0201;764510201;H;H;7645101;00755;28;76;12.0;7.0;0.035;12.94;80.0;0.037;4164.58
