idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
square-habitat-immo-facile-42175505;pr;m;v;0;127;3176.0;5;222600;;;0;0;0;1;VI;;47.56186;1.21699;Oui;1.0;;;False;0;VI;1963.0;1.0;1.0;;;;;;;Fioul;Radiateur;Individuel;a;n;;m;2022-07;41142;0000;411420000;Z;Z;4114200;41000;24;41;6.59;1.0;0.045;6.59;1.0;0.045;1752.76
apimo-7204898;pr;m;v;0;141;2033.0;10;287000;;;0;0;0;0;C;143;47.51276;1.45882;0;1.0;;;;0;C;;;;;;;;;;Gaz;Radiateur;Individuel;m;n;;m;2022-07;41067;0000;410670000;Z;Z;4106700;41000;24;41;;;;;;;2035.46
iad-france-1145024;pr;m;v;0;210;1000.0;10;449000;;;0;0;0;0;D;164;47.51009;1.44997;Oui;1.0;;;False;0;E;;;;;False;;;;;Gaz;;;m;n;;m;2022-07;41067;0000;410670000;Z;Z;4106700;41000;24;41;;;;;;;2138.1
immo-facile-49951016;pr;m;v;0;146;728.0;6;232100;;;0;0;0;2;D;244;47.71197;1.62866;Non;;;;False;Est-Ouest;B;1982.0;2.0;1.0;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2022-07;41220;0000;412200000;Z;Z;4122000;41107;24;41;8.44;2.0;0.064;8.44;2.0;0.064;1589.73
immo-facile-49900623;pr;m;v;0;135;280.0;4;211000;;;0;0;1;0;D;242;47.6933;1.58277;Non;;;;True;Nord-Sud;B;1850.0;2.0;1.0;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2022-07;41220;0000;412200000;Z;Z;4122000;41107;24;41;7.87;11.0;0.06;7.87;11.0;0.06;1562.96
ag440414-349052343;pr;m;v;0;146;670.0;6;229000;;;0;0;0;1;C;122;47.71566;1.62559;Non;2.0;;;;0;A;;;;;False;;;;;;;;m;n;;m;2022-07;41220;0000;412200000;Z;Z;4122000;41107;24;41;8.44;2.0;0.065;8.44;2.0;0.065;1568.49
apimo-6079315;pr;m;v;0;118;;5;230560;;;0;0;0;0;0;;47.78672;0.9661;0;;;;;0;;;;;;;;;;;Gaz;;Individuel, Central;a;n;;m;2022-07;41259;0000;412590000;Z;Z;4125900;41000;24;41;;;;;;;1953.9
immo-facile-adresse-13028930;pr;m;v;0;81;1065.0;3;190800;;;0;0;0;0;B;76;47.31075;1.20715;Non;;;;;0;A;;;;;;;;;;;;;a;n;;m;2022-07;41217;0000;412170000;Z;Z;4121700;41204;24;41;;;;;;;2355.56
immo-facile-adresse-13032854;pr;m;v;0;120;1965.0;5;233200;;;0;0;1;1;D;232;47.51442;1.27947;Non;2.0;;;;0;B;2000.0;2.0;1.0;;;;;;;Électrique;Radiateur;Individuel;a;n;;m;2022-07;41029;0000;410290000;Z;Z;4102900;41000;24;41;;;;;;;1943.33
orpi-1-076043E25EKL;pr;m;v;0;90;1031.0;5;163000;;;0;0;0;1;F;298;47.6748;1.05463;Oui;;;2.0;;0;F;;;1.0;;;;;;;;;Individuel;a;n;;m;2022-07;41107;0000;411070000;Z;Z;4110700;41000;24;41;;;;;;;1811.11
