idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP
immo-facile-59652311;pr;m;l;0;117;;4;715;;;0;0;0;0;NS;;50.52348;2.67388;0;;;;;0;VI;;;;;;;;;;;;;a;n;;m;2025-12;62126;0104;621260104;H;H;6212601;00752;32;62
mgc-ancien-863490;pr;a;l;1;39;;1;510;;;0;0;0;1;D;246;50.63896;2.39369;0;;;;False;0;B;1930.0;;;;False;;False;;;Électrique;;Individuel;a;n;;a;2025-12;62014;0101;620140101;H;H;6201401;00752;32;62
ag595646-501877643;pr;m;l;0;98;50.0;7;840;;;0;0;0;1;D;;50.60088;2.09867;0;;;;;0;B;;;;;;;;;;;;;a;n;8.0;m;2025-12;62325;0000;623250000;Z;Z;6232500;62000;32;62
ag595646-503278928;pr;a;l;2;42;;2;590;;;0;0;0;1;C;;50.42917;2.83198;0;;;;;0;;;;;;;;;;;;;;a;n;;a;2025-12;62498;0304;624980304;H;H;6249801;00756;32;62
ag620500-501480533;pr;a;l;3;22;;1;435;;;0;0;1;1;E;299;50.42924;2.82843;0;4.0;;;;0;B;;;;;;;;;;Électrique;Convecteur;Individuel;a;n;;a;2025-12;62498;0305;624980305;H;H;6249801;00756;32;62
lamy-38-FL0848446;pr;a;l;1;42;;2;590;;;0;1;0;0;C;87;50.42476;2.83715;0;2.0;;;False;Sud-Est;C;;;;;False;;False;;;;;;a;n;;a;2025-12;62498;0304;624980304;H;H;6249801;00756;32;62
mgc-ancien-880521;pr;a;l;0;40;;2;580;;;0;0;0;0;C;78;50.42482;2.83798;0;2.0;;;False;0;C;;;;;False;;False;;;;;;a;n;;a;2025-12;62498;0304;624980304;H;H;6249801;00756;32;62
apimo-85247015;pr;a;l;0;45;;2;680;;;0;0;0;0;C;176;50.42917;2.83198;0;;;;;0;A;;;;;;;;;;Électrique;;;a;n;;a;2025-12;62498;0304;624980304;H;H;6249801;00756;32;62
mgc-ancien-882017;pr;a;l;2;11;;1;390;;;0;0;1;0;E;425;50.42862;2.83614;0;3.0;;;False;0;B;;;;;False;;False;;;Électrique;;Individuel;a;n;;a;2025-12;62498;0303;624980303;H;H;6249801;00756;32;62
mgc-ancien-877962;pr;a;l;-1;60;;1;485;;;0;0;0;1;E;321;50.43116;2.83635;0;;;;False;0;B;;;;;False;;False;;;Électrique;;Individuel;a;n;;a;2025-12;62498;0303;624980303;H;H;6249801;00756;32;62
apimo-83194641;pr;m;l;0;93;;4;900;;;0;0;0;0;B;56;50.71671;2.2295;0;1.0;;;;0;B;;;;;;;;;;Gaz;Radiateur;;a;n;;m;2025-12;62902;0000;629020000;Z;Z;6290200;62501;32;62
apimo-86502277;pr;a;l;1;80;;3;1555;;;0;0;0;0;B;72;50.4531;1.61334;0;;;;;0;A;;;;;;;True;;;;Pompe à chaleur;;a;n;;a;2025-12;62571;0000;625710000;Z;Z;6257100;62401;32;62
ag621295-502647542;pr;m;l;0;104;;4;938;;;0;0;1;1;C;149;50.42131;2.83961;0;3.0;;1.0;;0;C;;;;;;;;;;Gaz;;Individuel;a;n;;m;2025-12;62065;0104;620650104;H;H;6206501;00756;32;62
ag621295-502942994;pr;m;l;0;102;;5;1025;;;0;0;1;1;C;59.12;50.39708;2.83034;0;2.0;;;;0;C;;;;;;;;;;Gaz;;Individuel;a;n;;m;2025-12;62065;0106;620650106;H;H;6206501;00756;32;62
mgc-ancien-880123;pr;a;l;1;80;;3;652;;;0;0;0;1;D;209;50.41299;2.83262;0;2.0;;;False;0;D;;;;;False;;False;;;;;Individuel;a;n;;a;2025-12;62065;0103;620650103;H;H;6206501;00756;32;62
century-21-202_513_18671;pr;a;l;0;86;;3;795;;;0;0;1;0;F;385;50.84105;1.8045;0;;;0.0;;0;C;;1.0;0.0;;False;;False;;;Électrique;;Individuel;a;n;;a;2025-12;62191;0000;621910000;Z;Z;6219100;62000;32;62
ag595646-501877676;pr;a;l;1;82;;3;560;;;0;0;0;1;D;;50.47462;2.26914;0;;;;;0;C;;;;;;;;;;Électrique;;;a;n;8.0;a;2025-12;62451;0000;624510000;Z;Z;6245100;62000;32;62
ag210198-502633265;pr;a;l;0;60;;3;675;;;0;0;1;0;E;271;50.51324;2.78379;0;;;;True;0;B;;1.0;;;False;;False;;;Électrique;;Individuel;network;n;;a;2025-12;62051;0000;620510000;Z;Z;6205100;00752;32;62
ag621294-501553496;pr;m;l;0;44;;3;680;;;0;0;0;1;E;263;50.41477;1.589;0;2.0;;1.0;;0;B;;;;;;;;;;Électrique;;Individuel;a;n;8.0;m;2025-12;62108;0101;621080101;H;H;6210801;62401;32;62
apimo-86484197;pr;a;l;0;26;;1;351;;;0;0;0;0;E;340.7;50.41887;1.56705;0;;;;;0;B;;;;;;;;;;Électrique;Convecteur;Individuel;a;n;8.0;a;2025-12;62108;0105;621080105;H;H;6210801;62401;32;62
ag621294-502647539;pr;a;l;0;46;;2;635;;;0;0;0;0;D;222;50.40316;1.56295;0;4.0;;;;0;B;;;;;;;True;;;Électrique;;Individuel;a;n;;a;2025-12;62108;0103;621080103;H;H;6210801;62401;32;62
ag621294-503322992;pr;a;l;0;51;;3;605;;;0;0;1;0;E;254;50.4065;1.56385;0;4.0;;;;0;B;;;;;;;False;;;Gaz;;Individuel;a;n;;a;2025-12;62108;0104;621080104;H;H;6210801;62401;32;62
safti-1-1573259;pr;a;l;0;68;;2;490;;;0;0;0;1;D;247;50.47339;2.72018;0;;;;False;0;B;1940.0;1.0;;;False;;False;;;Électrique;;Individuel;m;n;;a;2025-12;62563;0101;625630101;H;H;6256301;00756;32;62
iad-france-1892481;pr;m;l;0;115;130.0;5;889;;;0;0;0;0;C;137;50.52534;2.63931;0;;;;False;0;A;;;;;False;;;;;;;;m;n;8.0;m;2025-12;62119;0105;621190105;H;H;6211901;00752;32;62
ag620500-501884564;pr;m;l;0;83;200.0;4;900;;;0;0;0;1;D;161;50.53618;2.64588;0;2.0;;2.0;False;Ouest;D;;;;;;;;;;Gaz;Convecteur;;a;n;;m;2025-12;62119;0103;621190103;H;H;6211901;00752;32;62
immo-facile-51461134;pr;a;l;0;61;;2;445;;;0;0;0;0;E;291;50.52933;2.64374;0;;;;;0;F;;;;;;;;;;;;;a;n;;a;2025-12;62119;0103;621190103;H;H;6211901;00752;32;62
immo-facile-59674087;pr;m;l;0;90;;3;797;;;0;0;0;0;E;247;50.52104;2.65215;0;;;;;0;F;;;;;;;;;;;;;a;n;;m;2025-12;62119;0108;621190108;H;H;6211901;00752;32;62
