idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
iad-france-1932501;pr;m;v;0;79;650.0;4;60000;;;0;0;0;0;D;215;47.95383;5.75123;Oui;3.0;;;False;0;B;;;;;False;;;;;Électrique;;;m;n;;m;2025-11;52060;0000;520600000;Z;Z;5206000;52101;44;52;2.86;1.0;0.045;2.86;1.0;0.045;759.49
ag920856-485197829;pr;m;v;0;79;294.0;4;46000;;;0;0;0;1;D;176;47.95385;5.74304;Oui;;;;False;0;D;;;;;False;;;;;Gaz;Radiateur;Individuel;m;n;;m;2025-11;52060;0000;520600000;Z;Z;5206000;52101;44;52;2.86;1.0;0.059;2.86;1.0;0.059;582.28
hektor-62_idlr-7248;pr;m;v;0;81;831.0;4;143000;;;0;0;1;0;D;207;47.95045;5.72859;Non;;;;;Nord-Sud;D;1974.0;1.0;;;;;;;;Gaz;;Individuel;m;n;;m;2025-11;52060;0000;520600000;Z;Z;5206000;52101;44;52;2.86;1.0;0.019;2.86;1.0;0.019;1765.43
iad-france-1896281;pr;m;v;0;70;1300.0;3;32000;;;0;0;0;0;NS;;48.24328;5.29957;Oui;;;;False;0;NS;;;;;False;;;;;;;;m;n;;m;2025-11;52008;0000;520080000;Z;Z;5200800;52000;44;52;;;;;;;457.14
iad-france-1938824;pr;m;v;0;110;;5;50000;;;0;0;0;0;E;222;48.24381;5.30103;Oui;2.0;;;False;0;E;;;;;False;;;;;Fioul;Radiateur;;m;n;;m;2025-11;52008;0000;520080000;Z;Z;5200800;52000;44;52;;;;;;;454.55
hektor-62_idlr-7251;pr;m;v;0;45;1099.0;2;25000;;;0;0;1;0;NS;;47.95675;5.64488;Oui;;;;;0;NS;;1.0;;;;;;;;;;;m;n;;m;2025-11;52164;0000;521640000;Z;Z;5216400;52000;44;52;;;;;;;555.56
ag060811-496316402;pr;m;v;0;68;365.0;4;43500;;;0;0;1;1;D;203;48.60973;5.04949;Non;;;1.0;True;0;D;;1.0;;;;;;;;Bois;;;m;n;;m;2025-11;52099;0000;520990000;Z;Z;5209900;52000;44;52;7.78;1.0;0.146;7.78;1.0;0.146;639.71
ag060811-496620554;pr;m;v;0;103;1172.0;5;156000;;;0;0;1;0;E;303;48.61611;4.89851;Non;1.0;;1.0;True;0;E;;1.0;;;;;;;;Électrique;;;m;n;;m;2025-11;52327;0000;523270000;Z;Z;5232700;00460;44;52;;;;;;;1514.56
ag060811-496257407;pr;m;v;0;98;1580.0;4;65000;;;0;0;0;1;NS;;47.87529;5.64901;Oui;;;0.0;;0;NS;;;;;;;;;;;;;m;n;;m;2025-11;52124;0000;521240000;Z;Z;5212400;52000;44;52;;;;;;;663.27
immo-facile-59419343;pr;a;v;7;92;;5;61648;;;0;1;0;1;C;163;48.6411;4.97344;Non;13.0;;1.0;True;0;C;1975.0;1.0;;;;;;;;;;Collectif;a;n;;a;2025-11;52448;0104;524480104;H;H;5244801;00460;44;52;8.97;1.0;0.161;7.49;25.0;0.134;670.09
