idannonce;type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;duree_int;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS_x;TYP_IRIS_y;GRD_QUART;UU2010;REG;DEP;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
adapt-immo-311893776;pr;a;v;0;46;;2;59400;;;0;0;0;1;D;200;44.84961;0.20741;Oui;1.0;;2.0;False;0;B;2007.0;1.0;;;;;False;72.0;1224.0;Électrique;;;a;n;;a;2021-12;24335;0000;243350000;Z;Z;2433500;00553;75;24;10.04;4.0;0.093;10.04;4.0;0.093;1291.3
ag834519-325568736;pr;m;v;0;152;;7;180000;;;0;0;0;0;D;211;45.55667;0.61194;Oui;1.0;;;;0;B;;;;;;;;;;;;;a;n;;m;2021-12;24458;0000;244580000;Z;Z;2445800;24000;75;24;;;;;;;1184.21
ag671791-326104311;pr;m;v;0;160;300.0;6;153000;;;0;0;2;0;D;153;45.15798;0.57164;Non;;;;True;Est;A;;2.0;;;;;;;;;;Individuel;a;n;;m;2021-12;24010;0000;240100000;Z;Z;2401000;24107;75;24;;;;;;;956.25
ag133675-325183716;pr;m;v;0;230;12683.0;10;438900;;;0;1;2;0;NS;;45.175;0.59194;Non;1.0;;1.0;True;0;;;2.0;;;;;;;;Gaz;;;a;n;;m;2021-12;24010;0000;240100000;Z;Z;2401000;24107;75;24;;;;;;;1908.26
ag743273-324746574;pr;m;v;0;282;3000.0;12;190000;;;0;1;1;1;D;217;45.12924;1.30162;Non;3.0;;3.0;True;Sud;C;;2.0;;;;;;;;;;;a;n;;m;2021-12;24547;0101;245470101;H;H;2454701;00265;75;24;;;;;;;673.76
citya-immobilier-9752-TAPP463527;pr;a;v;0;47;;2;57700;;;0;0;0;1;D;186;45.13697;1.30063;Oui;2.0;;1.0;;0;A;;;0.0;;;;False;72.0;670.0;Électrique;;Individuel;a;n;;a;2021-12;24547;0101;245470101;H;H;2454701;00265;75;24;8.32;35.0;0.081;8.78;61.0;0.086;1227.66
ag440414-325020207;pr;m;v;0;178;2887.0;6;399900;;;0;0;0;0;C;177;45.22373;0.7853;Oui;1.0;;;;sud-ouest;A;;;;;False;;;;;;;;m;n;;m;2021-12;24557;0102;245570102;H;H;2455701;24501;75;24;;;;;;;2246.63
immo-facile-47848325;pr;m;v;0;148;482.0;5;234000;;;0;0;2;0;E;;45.18931;0.73962;Non;;;;;0;E;1960.0;;;;;;;;;Gaz;Radiateur;Individuel;a;n;;m;2021-12;24557;0101;245570101;H;H;2455701;24501;75;24;7.05;4.0;0.054;7.05;8.0;0.054;1581.08
ag060811-325538814;pr;m;v;0;143;2157.0;6;346000;;;0;0;1;1;A;40;45.20684;0.75178;Oui;;;3.0;;0;A;;2.0;;;;;;;;Bois;Poêle à Bois;;m;n;;m;2021-12;24557;0101;245570101;H;H;2455701;24501;75;24;;;;;;;2419.58
century-21-202_685_18637;pr;m;v;0;48;;2;87600;;;0;0;0;1;D;208.2;45.20391;0.80286;Oui;;;2.0;;0;B;2006.0;1.0;0.0;;;;;;;Électrique;;Individuel;a;n;;m;2021-12;24557;0102;245570102;H;H;2455701;24501;75;24;10.18;4.0;0.067;10.81;5.0;0.071;1825.0
