idannonce,url_annonce,idagence,idtiers,idPublication,type_annonceur,categorie_annonceur,typedebien,naturebien,typedetransaction,codepostal,codeinsee,ville,idQuartier,nomQuartier,adresse,etage,nb_etages,surface,surface_terrain,nb_chambres,nb_pieces,idtypechauffage,chauffage_energie,chauffage_systeme,chauffage_mode,idtypecommerce,idtypecuisine,prix_bien,prix_maison,prix_terrain,mensualiteFinance,si_balcon,si_sdbain,si_sdEau,balcon,surface_balcon,eau,bain,dpeL,dpeC,mapBoundingboxNortheastLatitude,mapBoundingboxNortheastLongitude,mapBoundingboxSouthwestLatitude,mapBoundingboxSouthwestLongitude,mapCoordonneesLatitude,mapCoordonneesLongitude,mapPoly,logoAgence,nomAgence,urlAgence,telNumber,nom_promoteur,nom_programme,nb_photos,date_first_observation,ges_valeur,ges_class,annee_construction,parking,places_parking,cave,exposition,nb_toilettes,nb_terraces,porte_digicode,ascenseur,logement_neuf,nb_logements_copro,charges_copro,visite_virtuelle,piscine,prix_m_carre,annonce_exclusive,nom_du_reseau
immo-facile-35398476,,,,7546,Pro,Agence,Maison/Villa,,Vente,85710,85096,La Garnache,,La Garnache,,,,137.77,3288,4,5,,,,,,,351750,,,,,,,,,2,1.0,B,,,,,,46.86320698749065,-1.846838599341915,,,,,,,,12,2020-01-22 20:19:29.192350,,A,,,,,,2,,,,Non,,,NA,,2553.168324018291,Non,
orpi-1-117009E1I5CW,,,,117009E1I5CW,Pro,Agence,Maison/Villa,,Vente,85520,85114,Jard-sur-Mer,,Jard-sur-Mer,,,,138,847,3,6,individuel,,,Individuel,,,399900,,,,,,,,,,2.0,D,218,,,,,46.414699237685724,-1.6068692632145034,,,,,,,,12,2020-01-22 20:19:29.192350,11,C,,,1.0,,,,,,,Non,,,NA,,2753.623188405797,Non,Orpi
adapt-immo-8500261325,,,,8500261325,Pro,Agence,Maison/Villa,,Vente,85540,85206,Saint-Cyr-en-Talmondais,,Saint-Cyr-en-Talmondais,,,1.0,137,2281,4,6,fuel ,Fioul,,,,,259800,,,,,,,,,1,1.0,D,208,,,,,46.45138504336547,-1.33807615156486,,,,,,,,9,2020-01-22 20:19:29.192350,69,F,1880,,5.0,FALSE,,2,,,,Non,,,NA,Non,1896.3503649635036,Non,AXO ET ACTIFS - A&A Immobilier
ag440414-229097437,,,,221942BTY,Pro,Mandataire,Maison/Villa,,Vente,85250,85215,Saint-Fulgent,,Saint-Fulgent,,,1.0,131,598,4,6,,,,,,,173800,,,,,,,,,1,,D,228,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immo-facile-34637537,,,,37,Pro,Agence,Maison/Villa,,Vente,85580,85104,Grues,,Grues,,,,132,931,5,6,mixte individuel ,,,Individuel,,,259500,,,,,,,,,1,1.0,B,88,,,,,46.4034014510693,-1.2974699312468976,,,,,,,,10,2020-01-22 20:19:29.192350,5,A,2008,,,,,2,1.0,,,Non,,,NA,,1893.939393939394,Non,
orpi-1-117009E1GOI3,,,,117009E1GOI3,Pro,Agence,Maison/Villa,,Vente,85520,85114,Jard-sur-Mer,,Jard-sur-Mer,,,,134.38,902,3,4,individuel,,,Individuel,,,296125,,,,,,,,,,2.0,D,206,,,,,46.4174352993093,-1.5808470817947784,,,,,,,,6,2020-01-22 20:19:29.192350,11,C,,,,,,,,,,Non,,,NA,,2120.8513171602917,Non,Orpi
immo-facile-34194298,,,,1494-1,Pro,Agence,Maison/Villa,,Vente,85800,85100,Givrand,,Givrand,,,,132,4102,4,5,individuel ,,,Individuel,,,401700,,,,,,,,,,,D,157,,,,,46.671599627742324,-1.906662690612825,,,,,,,,15,2020-01-22 20:19:29.192350,6,B,1975,,,,,2,,,,Non,,,NA,,3043.181818181818,Non,
immo-facile-adresse-10893198,,,,7647,Pro,Agence,Maison/Villa,,Vente,85000,85191,La Roche-sur-Yon,,Le Bourg sous la Roche,,,1.0,140,1139,4,6,radiateur fuel individuel ,Fioul,Radiateur,Individuel,,,193000,,,,,,,,,,,VI,,,,,,46.645411722937325,-1.4125845563497306,,,,,,,,4,2020-01-22 20:19:29.192350,,VI,,,,,,,,,,Non,,,NA,,1378.5714285714287,Non,L'ADRESSE
immo-facile-adresse-10820040,,,,6M5L6,Pro,Agence,Maison/Villa,,Vente,85670,85210,Saint-Ã‰tienne-du-Bois,,Saint-Ã‰tienne-du-Bois,,,1.0,138,27857,3,4,mixte fuel individuel ,Fioul,,Individuel,,,292500,,,,,,,,,1,1.0,C,142,,,,,46.859248582485016,-1.5665769528479536,,,,,,,,16,2020-01-22 20:19:29.192350,26,D,,,,,Sud-Ouest,2,,,,Non,,,NA,,2119.5652173913045,Non,L'ADRESSE
immo-facile-33550206,,,,17,Pro,Agence,Maison/Villa,,Vente,85580,85255,Saint-Michel-en-l'Herm,,Saint-Michel-en-l'Herm,,,1.0,140,1880,5,7,Ã©lectrique individuel ,Ã‰lectrique,,Individuel,,,265200,,,,,,,,,1,1.0,E,241,,,,,46.360293523247286,-1.2346737194420063,,,,,,,,10,2020-01-22 20:19:29.192350,13,C,1978,,4.0,,,2,2.0,,,Non,,,NA,,1821.4285714285713,Non,
ag440414-196389832,,,,199825JLR,Pro,Mandataire,Maison/Villa,,Vente,85700,85182,Pouzauges,,Pouzauges,,,,140,1170,4,7,gaz individuel,Gaz,,Individuel,,,198550,,,,,,,,,,1.0,C,117,,,,,46.78260406614219,-0.835920244885008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immo-facile-adresse-9456681,,,,6464,Pro,Agence,Maison/Villa,,Vente,85160,85234,Saint-Jean-de-Monts,,Route des Sables - Beaulieu - ForÃªt Domaniale Pays de Monts,,,,131.07,1000,4,5,mixte fuel ,Fioul,,,,,253300,,,,,,,,,,1.0,D,227,,,,,46.78048697710356,-2.0190368362224698,,,,,,,,17,2020-01-22 20:19:29.192350,55,E,1988,,,,Sud,1,,,,Non,,,NA,,1831.0826276035707,Non,L'ADRESSE
ag440414-185868640,,,,191482MCM,Pro,Mandataire,Maison/Villa,,Vente,85120,85059,La ChÃ¢taigneraie,,La ChÃ¢taigneraie,,,1.0,140,2900,3,7,fuel individuel,Fioul,,Individuel,,,157000,,,,,,,,,1,,D,185,,,,,0.0,0.0,,,,,,,,18,2020-01-22 20:19:29.192350,16,C,,,,,,1,,FALSE,,Non,,,NA,Non,1078.5714285714287,Non,Proprietes Privees
immo-facile-adresse-10314046,,,,4306RD-1,Pro,Agence,Maison/Villa,,Vente,85800,85088,Le Fenouiller,,Le Fenouiller,,,,134,516,3,4,radiateur gaz individuel ,Gaz,Radiateur,Individuel,,,285430,,,,,,,,,2,,D,,,,,,46.7038084060504,-1.9102223516272716,,,,,,,,15,2020-01-22 20:19:29.192350,,E,1979,,,,,2,,,,Non,,,Oui,,2130.0746268656717,Non,L'ADRESSE
immo-facile-adresse-9620835,,,,6127,Pro,Agence,Maison/Villa,,Vente,85160,85234,Saint-Jean-de-Monts,,Garenne - Gatonneau - Beau SÃ©jour,,,,132.5,416,3,6,Ã©lectrique ,Ã‰lectrique,,,,,303600,,,,,,,,,1,,D,187,,,,,46.78917798335957,-2.033962271189595,,,,,,,,10,2020-01-22 20:19:29.192350,6,B,1981,,,,Sud,1,1.0,,,Non,,,NA,,2173.5849056603774,Non,L'ADRESSE
ag170484-234985075,,,,VM4108-MARANS-8,Pro,Agence,Maison/Villa,,Vente,85370,85121,Le Langon,,Le Langon,,,2.0,136,421,4,6,individuel,,,Individuel,,,116000,,,,FALSE,,,,,1,1.0,D,172,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hektor-cabinetfruchet-12389,,,,57451,Pro,Agence,Maison/Villa,,Vente,85110,85051,Chantonnay,,Chantonnay,,,2,135,1052,4,8,individuel ,,,Individuel,,,201400,,,,,,,,,2,,B,56,,,,,46.67946056575276,-1.0457763037166674,,,,,,,,12,2020-01-22 20:19:29.192350,14,C,,,,FALSE,,2,,,,Non,,,NA,,1407.4074074074074,Non,Cabinet Fruchet
immo-facile-35270852,,,,02409g,Pro,Agence,Maison/Villa,,Vente,85540,85201,Saint-Benoist-sur-Mer,,Saint-Benoist-sur-Mer,,,,138.72,2567,3,4,radiateur fuel individuel ,Fioul,Radiateur,Individuel,,,254680,,,,,,,1.0,,2,,D,194,,,,,46.42114461489301,-1.3629617815561628,,,,,,,,10,2020-01-22 20:19:29.192350,58,F,,,,,,1,1.0,,,Non,,,NA,Oui,1744.5213379469435,Non,
immo-facile-adresse-10928837,,,,777JR,Pro,Agence,Maison/Villa,,Vente,85260,85038,Les Brouzils,,Les Brouzils,,,1,140,3770,5,7,mixte individuel ,,,Individuel,,,250800,,,,,,,,,1,1.0,VI,,,,,,46.9115746361156,-1.3098933381323354,,,,,,,,9,2020-01-22 20:19:29.192350,,NS,2008.0,,,TRUE,Est-Ouest,1,1.0,FALSE,,Non,,,NA,Non,1791.4285714285713,Non,L'ADRESSE
immo-facile-adresse-9810739,,,,5436,Pro,Agence,Maison/Villa,,Vente,85750,85004,Angles,,Angles,,,,140,617,3,5,,,,,,,252000,,,,,,,,,,,C,120,,,,,46.411028664449006,-1.3887385317323229,,,,,,,,11,2020-01-22 20:19:29.192350,5,A,2009.0,,,,,,,,,Non,,,NA,Non,1800.0,Non,L'ADRESSE
immo-facile-adresse-9198501,,,,5433,Pro,Agence,Maison/Villa,,Vente,85540,85156,Moutiers-les-Mauxfaits,,Moutiers-les-Mauxfaits,,,,134,798,4,6,Ã©lectrique individuel ,Ã‰lectrique,,Individuel,,,252000,,,,,,,,,,1.0,D,186,,,,,46.498721534778426,-1.4320778953357443,,,,,,,,18,2020-01-22 20:19:29.192350,9,B,2003.0,,,,,,,,,Non,,,Oui,,1880.597014925373,Non,L'ADRESSE
ag110472-229018327,,,,25373DHI971,Pro,Agence,Maison/Villa,,Vente,85460,85307,La Faute-sur-Mer,,La Faute-sur-Mer,,,,138,1100,4,7,,,,,,,298900,,,,FALSE,,,,,2,,D,201,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ag440414-228764275,,,,222006ABE,Pro,Mandataire,Maison/Villa,,Vente,85350,85113,L'ÃŽle-d'Yeu,,Ker Pierre Borny - Ker ChÃ¢lon - Ker Bossy - Ker Chauvineau,,,,135,921,4,6,,,,,,,724500,,,,,,,,,2,1.0,D,211,,,,,46.71751518326721,-2.3443882803470206,,,,,,,,3,2020-01-22 20:19:29.192350,12,C,,,,,,3,,FALSE,,Non,,,NA,Oui,5185.185185185185,Non,Proprietes Privees
immo-facile-adresse-10509213,,,,1043,Pro,Agence,Maison/Villa,,Vente,85440,85288,Talmont-Saint-Hilaire,,Talmont-Saint-Hilaire,,,,133.5,1047,3,5,Ã©lectrique individuel ,Ã‰lectrique,,Individuel,,,263400,,,,,,,,,2,,E,293,,,,,46.47016325031351,-1.6202931603807473,,,,,,,,8,2020-01-22 20:19:29.192350,16,C,1975.0,,,,,2,,,,Non,,,NA,,1973.0337078651685,Non,L'ADRESSE
