dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-15T15:10:29.000Z|83050|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|83050|
2021-03-15T08:37:53.000Z|83050|K1207|MIS|D|Vitalis Médical||Temps plein|||78|14597|83050|
2021-03-12T17:28:43.000Z|83050|M1605|CDI|E||Mensuel de 1550,00 Euros à 1600,00 Euros sur 12 mois|Temps partiel||7|85|19401|83050|
2021-03-12T11:01:54.000Z|83050|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|83050|
2021-03-12T09:19:44.000Z|83050|K2204|TTI|E|ISA INTERIM|Horaire de 10,25 Euros sur 12 mois|Temps plein||1|78||83050|
2021-03-10T03:08:20.000Z|83050|D1507|CDI|D||Mensuel de 1622,00 Euros ï¿½ 1622,00 Euros|Temps plein|||46|14779|83050|
2021-03-09T13:17:44.000Z|83050|K2204|CDD|D|DEPARTEMENT DU VAR||Temps plein||6|84|10686|83050|
2021-03-09T10:45:45.000Z|83050|G1703|CDD|E|DU PARC|Mensuel de 1555,00 Euros sur 12 mois|Temps plein||6|55|18325|83050|
2021-03-08T10:15:24.000Z|83050|N1105|SAI|D|LES GLACES DE LA COTE|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps plein||5|10|16361|83050|
2021-03-08T10:08:26.000Z|83050|N4105|SAI|E|LES GLACES DE LA COTE|Horaire de 10,50 Euros à 13,00 Euros sur 12 mois|Temps plein||5|10|11999|83050|
2021-03-03T14:14:03.000Z|83050|K1207|CDI|D|ASS DEPT SAUVE ENFANCE ADO ADULT VAR||Temps plein||6|88|14597|83050|
2021-03-03T11:05:56.000Z|83050|A1405|CDD|E|EXTER'NEO|Horaire de 10,25 Euros sur 12 mois|Temps plein||5|82|17540|83050|
2021-03-03T07:40:50.000Z|83050|D1505|CDD|D|||Temps plein||5|47|38655|83050|
2021-03-02T16:02:55.000Z|83050|M1607|CDI|E||Mensuel de 1590,00 Euros sur 12 mois|Temps plein||6|01|11183|83050|
2021-03-02T11:22:42.000Z|83050|K1207|CDD|D|ASS DEPT SAUVE ENFANCE ADO ADULT VAR||Temps plein||6|88|14597|83050|
2021-02-24T13:24:57.000Z|83050|K1207|CDD|E|IME SYLVABELLE ||Temps plein||6|87|14597|83050|
2021-02-23T11:35:08.000Z|83050|K1207|CDI|D|ASS DEPT SAUVE ENFANCE ADO ADULT VAR||Temps partiel||7|88|14597|83050|
2021-02-21T06:59:14.000Z|83050|K1207|CDD|E|Interpro'Med||Temps plein||||14597|83050|
