dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-04T10:42:02.000Z|2B148|N4105|CDD|E||Mensuel de 1570 Euros à 1600 Euros sur 12 mois|Temps plein||6|10|16209|2B148|
2021-03-11T14:52:18.000Z|2B148|A1414|CDD|E|MARIANA BROCHE|Mensuel de 1600,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||3|01|12118|2B148|
2021-03-08T10:46:02.000Z|2B148|E1101|CDD|D|LES EDITIONS CORSES|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|73|38383|2B148|
2021-03-05T10:54:02.000Z|2B148|G1602|CDD|E|||Temps plein||5|55|12756|2B148|
2021-02-11T11:03:14.000Z|2B148|N4103|CDI|E|AUTOCARS A MARANA |Mensuel de 1066,00 Euros sur 12 mois|Temps partiel||6|49|38795|2B148|
2021-03-10T15:32:01.000Z|2B148|F1605|MIS|E|ETTI DE LA CORSE|Horaire de 10,25 Euros à 11,50 Euros sur 12 mois|Temps plein||2|78|16793|2B148|
2021-03-05T10:51:03.000Z|2B148|G1803|CDD|E|||Temps plein||5|55|12274|2B148|
2021-03-03T15:25:07.000Z|2B148|D1407|CDI|D|PASQUALINI VIANDES|Mensuel de 2000,00 Euros sur 12 mois|Temps plein||6|46|20291|2B148|
2021-03-03T15:13:15.000Z|2B148|D1202|CDI|E|HAMMOUD YOUSSEF|Mensuel de 1554,58 Euros à 1800,00 Euros sur 12 mois|Temps plein||6|96|12693|2B148|
2021-03-03T14:49:04.000Z|2B148|H2206|CDI|E|STRUCTURE|Mensuel de 1952,71 Euros sur 12 mois|Temps plein||3|16|16613|2B148|
2021-03-03T14:47:18.000Z|2B148|H2206|CDI|E|STRUCTURE|Mensuel de 1952,71 Euros sur 12 mois|Temps plein||3|16|16613|2B148|
2021-03-03T14:25:00.000Z|2B148|H2502|CDI|E||Mensuel de 2300,00 Euros à 2900,00 Euros sur 12 mois|Temps plein||6|78|18708|2B148|
2021-03-02T16:41:32.000Z|2B148|D1105|CDI|D|POISSONNERIE DU GOLU|Mensuel de 1923,08 Euros sur 12 mois|Temps plein||6|47|17862|2B148|
2021-03-01T10:47:32.000Z|2B148|K2110|CDI|D|FORMATIONS SECURITE TRAVAIL|Mensuel de 2200,00 Euros à 2300,00 Euros sur 12 mois|Temps plein||6|70||2B148|
2021-02-22T11:27:24.000Z|2B148|N2201|CDD|D|S.A.T.A.B|Horaire de 10,15 Euros|Temps partiel||5|52|10539|2B148|
2021-02-22T10:46:45.000Z|2B148|N2203|CDD|D|SATAB|Horaire de 10,25 Euros|Temps partiel||5|52|10398|2B148|
2021-03-12T08:44:27.000Z|2B148|F1302|MIS|E|ACTUAL L'AGENCEMPLOI|Horaire de 11,50 Euros|Temps plein||3|78||2B148|
2021-03-02T14:56:24.000Z|2B148|D1104|CDI|E|I FRATELLI ANGELI||Temps plein||5|10|17576|2B148|
2021-02-09T11:01:42.000Z|2B148|F1603|CDI|E|CORSE THERMIQUE SERVICES||Temps plein||6|43|17837|2B148|
2021-03-12T08:46:52.000Z|2B148|N4101|MIS|E|ACTUAL L'AGENCEMPLOI|Horaire de 12,00 Euros|Temps plein||6|78|11989|2B148|
2021-02-25T06:47:34.000Z|2B148|C1504|LIB|D|||Temps plein||||13464|2B148|
2021-02-12T02:53:42.000Z|2B148|C1504|LIB|D|||Temps plein||||13464|2B148|
