dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-12T11:02:44.000Z|2B050|G1605|SAI|E||Mensuel de 1818,00 Euros sur 12 mois|Temps plein||1|56|17846|2B050|
2021-03-09T16:11:38.000Z|2B050|G1501|SAI|E|L'Acquale|Mensuel de 1592,00 Euros sur 12 mois|Temps plein||5|55|20500|2B050|
2021-03-03T14:29:27.000Z|2B050|G1501|CDD|E||Mensuel de 1740 Euros à 1750 Euros sur 12 mois|Temps plein||6|56|20500|2B050|
2021-03-02T10:36:36.000Z|2B050|G1501|SAI|D|MONSIEUR JEAN HALLER|Mensuel de 1635,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||5|55|20500|2B050|
2021-02-23T14:53:09.000Z|2B050|K2204|CDI|E||Horaire de 10,56 Euros à 10,56 Euros sur 12 mois|Temps partiel||6|81|10571|2B050|
2021-02-23T11:39:38.000Z|2B050|G1501|SAI|E||Horaire de 10,25 Euros sur 12 mois|Temps plein||5|55|20500|2B050|
2021-02-02T15:08:58.000Z|2B050|G1605|SAI|E||Mensuel de 1555 Euros sur 12 mois|Temps plein||1|55|17846|2B050|
2021-01-22T10:18:18.000Z|2B050|G1605|CDD|E|L'Acquale|Mensuel de 1800 Euros sur 12 mois|Temps plein||6|55|10826|2B050|
2021-01-21T16:12:50.000Z|2B050|G1801|CDD|E|L'Acquale|Mensuel de 1700,00 Euros à 1900,00 Euros sur 12 mois|Temps plein||5|55|19426|2B050|
2021-03-16T11:10:40.000Z|2B050|G1803|SAI|E||Mensuel de 1555 Euros sur 12 mois|Temps plein||1|56|38900|2B050|
2021-03-16T02:51:40.000Z|2B050|K1301|MIS|D|Appel Médical par Randstad||Temps plein|||78|10856|2B050|
2021-03-15T09:54:10.000Z|2B050|G1602|SAI|E||Mensuel de 1819,00 Euros sur 12 mois|Temps plein||6|56|12756|2B050|
2021-03-12T10:57:12.000Z|2B050|G1803|SAI|E||Mensuel de 1948,00 Euros sur 12 mois|Temps plein||6|56|19427|2B050|
2021-03-09T14:19:38.000Z|2B050|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2B050|
2021-03-04T09:09:59.000Z|2B050|G1801|SAI|E||Mensuel de 1750 Euros à 2000 Euros sur 12 mois|Temps plein||6|56|11494|2B050|
2021-03-04T08:01:35.000Z|2B050|G1801|SAI|E||Mensuel de 1800 Euros à 2000 Euros sur 12 mois|Temps plein||6|56|15192|2B050|
2021-03-01T10:33:59.000Z|2B050|D1403|CCE|D|MOVE HEALTH||Temps plein||5|47|13489|2B050|
2021-02-17T03:04:36.000Z|2B050|K1301|LIB|D|||Temps plein||||10856|2B050|
2021-02-16T09:01:23.000Z|2B050|G1602|CDD|E|||Temps plein||||12756|2B050|
2021-02-16T07:37:36.000Z|2B050|K1301|MIS|D|Appel Medical||Temps plein|||78|10856|2B050|
2021-02-15T11:30:27.000Z|2B050|G1803|SAI|E|L'ALTU|Mensuel de 2000,00 Euros sur 12 mois|Temps plein||6|56|19427|2B050|
2021-03-16T11:56:59.000Z|2B050|M1302|FRA|D|ELYSEE CONCEPT||Temps plein||9|70||2B050|
2021-03-16T10:44:23.000Z|2B050|I1203|SAI|E||Mensuel de 1556 Euros sur 12 mois|Temps plein||2|55|15058|2B050|
2021-03-15T12:04:49.000Z|2B050|F1607|CDI|E|PRO MC|Mensuel de 1555 Euros à 1800 Euros sur 12 mois|Temps plein||3|43|16626|2B050|
2021-03-15T07:50:04.000Z|2B050|D1208|SAI|D||Mensuel de 1689,00 Euros sur 12 mois|Temps plein||6|47|14890|2B050|
2021-03-15T04:51:02.000Z|2B050|G1804|CDI|D|||Temps plein||||12602|2B050|
2021-03-12T16:37:25.000Z|2B050|M1203|CDI|D|WIZBII|Annuel de 24000,00 Euros à 36000,00 Euros sur 12 mois|Temps plein||6|62|15368|2B050|
