dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-15T11:58:23.000Z|2B033|J1301|CDD|D|MAISON NOTRE DAME|Mensuel de 1900,00 Euros à 1901,00 Euros sur 12 mois|Temps plein||5|87|10698|2B033|
2021-03-11T10:30:05.000Z|2B033|K1304|DDI|D|DOMICILE SERVICES/ADMR|Horaire de 10,50 Euros|Temps partiel||1|96|14774|2B033|
2021-03-11T10:01:30.000Z|2B033|N4105|CDD|E|RESTAURANT A CASARELLA|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||6|56|16204|2B033|
2021-03-10T14:10:32.000Z|2B033|D1214|CDD|E||Mensuel de 1555,00 Euros sur 12 mois|Temps plein||6|47|20613|2B033|
2021-03-05T18:06:24.000Z|2B033|D1507|CDI|D|WIZBII|Mensuel de 1632,00 Euros à 1632,00 Euros sur 12 mois|Temps plein||6|62|14778|2B033|
2021-03-04T15:12:44.000Z|2B033|A1203|CDD|D|CORSE PAYSAGE|Mensuel de 1556,00 Euros sur 12 mois|Temps plein||1|81|17480|2B033|
2021-03-04T11:14:55.000Z|2B033|G1605|CDD|E|BARCAROLLE||Temps plein||5|56|17846|2B033|
2021-03-03T06:06:52.000Z|2B033|G1603|CDI|D|A BISCUTTERIA||Temps plein||5|10|14812|2B033|
2021-03-02T14:23:59.000Z|2B033|N4105|CDI|D|AUTO PIECES SOC EXPL PASQUALINI|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|45|16204|2B033|
2021-03-01T15:32:45.000Z|2B033|D1106|CDD|E|KARMASUSHI|Mensuel de 1555,00 Euros sur 12 mois|Temps plein||5|56|20540|2B033|
2021-03-01T15:31:16.000Z|2B033|G1605|CDD|E|KARMASUSHI|Mensuel de 1900,00 Euros sur 12 mois|Temps plein||3|56|10826|2B033|
2021-02-22T11:25:35.000Z|2B033|M1608|CDD|E|ETTI DE LA CORSE|Horaire de 11,00 Euros à 12,00 Euros sur 12 mois|Temps plein||6|78|19370|2B033|
2021-02-11T09:45:25.000Z|2B033|K1102|CDI|D|UDAF|Mensuel de 1840,00 Euros sur 12 mois|Temps plein||6|87|38388|2B033|
2021-02-10T10:51:26.000Z|2B033|D1401|CDI|E|SMABTP|Mensuel de 1700,00 Euros à 2000,00 Euros sur 13.6 mois|Temps plein||7|65|11210|2B033|
2021-02-03T14:03:17.000Z|2B033|M1501|CDI|E|CORSE RECRUTEMENT||Temps plein||6|70|11329|2B033|
2021-03-16T11:22:18.000Z|2B033|G1803|SAI|E|PIZZERIA LE COLOMBA|Mensuel de 2337,66 Euros sur 12 mois|Temps plein||5|56|19427|2B033|
2021-03-16T11:16:39.000Z|2B033|G1604|SAI|D|PIZZERIA LE COLOMBA|Mensuel de 1753,25 Euros sur 12 mois|Temps plein||6|56|17807|2B033|
2021-03-16T09:05:21.000Z|2B033|G1803|CDD|E|LE FOURNIL|Mensuel de 1560,00 Euros sur 12 mois|Temps plein||6|47|19430|2B033|
2021-03-15T11:53:23.000Z|2B033|G1602|SAI|E|GLACIER DU VIEUX PORT|Mensuel de 2308,00 Euros sur 12 mois|Temps plein||6|56|12756|2B033|
2021-03-15T11:40:54.000Z|2B033|G1803|SAI|D|GLACIER DU VIEUX PORT|Mensuel de 2051,00 Euros à 2308,00 Euros sur 12 mois|Temps plein||5|56|19427|2B033|
2021-03-12T05:00:13.000Z|2B033|K1301|CDI|D||Annuel de 19320,00 Euros ï¿½ 19320,00 Euros|Temps plein||||10856|2B033|
2021-03-11T14:44:47.000Z|2B033|G1602|CDD|E| MUSEUM CAFE||Temps plein||6|56|12756|2B033|
2021-03-11T12:16:57.000Z|2B033|G1803|CDD|E|||Temps plein||6|56|19427|2B033|
2021-03-11T09:56:05.000Z|2B033|G1803|CDD|E|RESTAURANT A CASARELLA||Temps plein||6|56|19427|2B033|
2021-03-11T09:47:48.000Z|2B033|G1604|CDD|E|RESTAURANT A CASARELLA||Temps plein||6|56|17807|2B033|
2021-03-10T15:48:26.000Z|2B033|K1207|CDD|D|ADPS|Mensuel de 2130,11 Euros sur 12 mois|Temps plein||6|86|14597|2B033|
2021-03-10T12:31:54.000Z|2B033|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2B033|
2021-03-10T11:12:26.000Z|2B033|K2110|CDD|E|OPRA |Mensuel de 1120 Euros sur 12 mois|Temps partiel||6|85||2B033|
2021-03-10T10:38:38.000Z|2B033|M1203|CDD|E|ETTI DE LA CORSE|Horaire de 10,25 Euros à 11,00 Euros sur 12 mois|Temps plein||6|78|11213|2B033|
2021-03-10T09:48:24.000Z|2B033|K1201|CDD|D|ETTI DE LA CORSE|Horaire de 11,62 Euros à 11,63 Euros sur 12 mois|Temps plein||6|78|11335|2B033|
2021-03-09T15:06:41.000Z|2B033|G1803|CDD|E|CORTO|Horaire de 10,25 Euros sur 12 mois|Temps partiel||5|56|38900|2B033|
2021-03-09T14:17:27.000Z|2B033|M1401|CDD|D|QUALISENS/ REACT FRANCE|Horaire de 10,25 Euros à 10,26 Euros sur 12 mois|Temps partiel||6|70|14841|2B033|
2021-03-09T09:33:15.000Z|2B033|G1803|CDD|E|L'IMPERIAL||Temps plein||6|56|19427|2B033|
2021-03-04T11:19:11.000Z|2B033|G1803|CDI|E|BARCAROLLE||Temps plein||5|56|19427|2B033|
2021-03-03T09:06:05.000Z|2B033|G1803|CDD|D|PHOENIX||Temps plein||6|56|19427|2B033|
2021-03-01T10:33:29.000Z|2B033|D1403|CCE|D|MOVE HEALTH||Temps plein||5|47|13489|2B033|
2021-02-12T10:41:10.000Z|2B033|G1602|CDI|D|||Temps plein||6|56|12756|2B033|
2021-02-12T10:05:41.000Z|2B033|K1201|CDD|D|ETTI DE LA CORSE|Horaire de 11,62 Euros à 11,63 Euros sur 12 mois|Temps plein||6|78|11335|2B033|
2021-02-11T11:24:35.000Z|2B033|M1203|CDD|E|ETTI DE LA CORSE|Horaire de 10,25 Euros à 11,00 Euros sur 12 mois|Temps plein||6|78|11213|2B033|
2021-02-10T10:38:47.000Z|2B033|G1803|CDD|E|LA TABLE DU MARCHE SAINT JEAN|Mensuel de 2000,00 Euros sur 12 mois|Temps plein||5|56|19427|2B033|
2021-02-09T15:20:05.000Z|2B033|G1803|CDD|E|CAFE DEL MARE||Temps plein||6|56|19427|2B033|
2021-02-08T15:53:45.000Z|2B033|D1404|CDI|E||Mensuel de 1923,00 Euros sur 12 mois|Temps plein||6|45||2B033|
2021-02-08T13:42:32.000Z|2B033|K1302|CDI|D|KALLISERVICES|Horaire de 11 Euros sur 12 mois|Temps plein||5|88|11456|2B033|
