dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-02-23T11:45:09.000Z|84081|G1605|MIS|E|SBC INTERIM|Horaire de 10,25 Euros sur 12 mois|Temps plein||5|78|10826|84081|
2021-03-16T11:40:39.000Z|84081|D1502|CDI|D|Leclerc Morieres les Avignon||Temps plein||||12287|84081|
2021-03-09T15:37:37.000Z|84081|G1603|CDD|E|BOULANGERIE DE MARIE BLACHERE|Horaire de 10,25 Euros sur 12 mois|Temps partiel||5|47|18046|84081|
2021-02-24T11:08:03.000Z|84081|A1203|CDI|D||Mensuel de 1579,00 Euros sur 12 mois|Temps plein||2|81|17515|84081|
2021-03-12T15:38:31.000Z|84081|K1303|CDI|D|O2|Horaire de 10,25 Euros à 10,25 Euros sur 12 mois|Temps partiel||6|88||84081|
2021-03-12T15:37:49.000Z|84081|E1304|CDI|D|MAISON 1909|Mensuel de 1554,58 Euros sur 12 mois|Temps plein||5|16|17436|84081|
2021-03-11T15:42:44.000Z|84081|H2602|CDI|E|L.I.P. 12 - AVIGNON|Mensuel de 2000,00 Euros à 2050,00 Euros sur 12 mois|Temps plein||6|78|11613|84081|
2021-02-23T15:23:06.000Z|84081|K1302|CDI|D|DE LIEN EN LIEN|Horaire de 10,36 Euros à 11,20 Euros sur 12 mois|Temps partiel||4|88|11255|84081|
2021-02-18T10:31:04.000Z|84081|E1105|CDI|E|EDITIONS JOCATOP|Mensuel de 2000,00 Euros à 2500,00 Euros sur 12 mois|Temps plein||6|58|14581|84081|
2021-02-03T10:41:22.000Z|84081|F1603|CDI|E|INSTALLATION CHAUFFAGE PLOMBERIE|Horaire de 11,00 Euros à 12,00 Euros sur 12 mois|Temps plein||2|43|13974|84081|
2021-03-16T02:46:39.000Z|84081|J1502|CDI|E|Appel Médical par Randstad||Temps plein|||||84081|
2021-03-08T09:45:09.000Z|84081|D1101|MIS|E|SBC INTERIM|Horaire de 10,50 Euros à 12,00 Euros sur 12 mois|Temps plein||4|78|11564|84081|
2021-02-25T16:07:02.000Z|84081|J1502|CDI|E|Appel Médical par Randstad||Temps plein|||||84081|
2021-02-19T13:58:31.000Z|84081|A1201|CDD|E|A.B.C.|Mensuel de 1557,00 Euros à 1650,00 Euros sur 12 mois|Temps plein||2|85|14608|84081|
2021-03-10T16:34:50.000Z|84081|F1602|CDI|E||Mensuel de 1923,08 Euros sur 12 mois|Temps plein||2|43|14617|84081|
2021-02-22T15:18:25.000Z|84081|F1604|CDD|E|BOYER PEINTURE|Horaire de 10,50 Euros à 12,50 Euros sur 12 mois|Temps plein||2|43|17831|84081|
2021-02-19T10:07:23.000Z|84081|H2206|CDI|E||Mensuel de 1800 Euros sur 12 mois|Temps plein||3|31|16611|84081|
2021-01-11T16:57:31.000Z|84081|I1606|CDI|E|AUTO NEGOCE 84|Mensuel de 1600,00 Euros à 1800,00 Euros sur 12 mois|Temps plein||6|45|11701|84081|
