dateCreation|lieuTravail|romeCode|typeContrat|experienceExige|entreprise|salaire|dureeTravailLibelleConverti|alternance|qualificationCode|secteurActivite|code_appellation|INSEE_COM
2021-03-01T10:05:33.000Z|76561|I1203|CDD|D|CTRE HOSPITALIER ELBEUF LES FEUGRAIS|Mensuel de 1760,00 Euros à 1760,00 Euros sur 12 mois|Temps plein||2|86||76561|
2021-02-24T12:14:36.000Z|76561|K1201|CDD|D|CTRE HOSPITALIER ELBEUF LES FEUGRAIS|Mensuel de 1979,00 Euros à 1979,00 Euros sur 12 mois|Temps plein||8|86|11335|76561|
2021-03-10T16:09:02.000Z|76561|D1212|CDI|S|Concepteur Vendeur||Temps plein||||20523|76561|
2021-03-05T14:10:36.000Z|76561|H2909|MIS|E|PROJOBNOW|Mensuel de 1800,00 Euros ï¿½ 1950,00 Euros|Temps plein||7|78||76561|
2021-02-21T16:55:48.000Z|76561|K1304|CDI|D|||Temps plein||||10805|76561|
2021-03-09T10:43:05.000Z|76561|D1102|CDD|D|FIRMIN|Horaire de 10,25 Euros|Temps partiel||2|56|10868|76561|
2021-03-05T14:10:40.000Z|76561|H2602|MIS|E|PROJOBNOW|Mensuel de 1750,00 Euros ï¿½ 2000,00 Euros|Temps plein||7|78|11616|76561|
2021-03-05T14:10:38.000Z|76561|H1504|MIS|E|PROJOBNOW|Mensuel de 1800,00 Euros ï¿½ 1920,00 Euros|Temps plein||7|78||76561|
2021-02-19T11:52:25.000Z|76561|J1501|CDD|D|CTRE HOSPITALIER ELBEUF LES FEUGRAIS|Mensuel de 1683,00 Euros à 1683,00 Euros sur 12 mois|Temps plein||6|86|10893|76561|
2021-02-12T02:59:32.000Z|76561|C1504|LIB|D|||Temps plein||||13464|76561|
2021-02-10T09:10:32.000Z|76561|K1705|MIS|E|CRIT INTERIM|Horaire de 10,80 Euros à 11,00 Euros sur 12 mois|Temps plein||6|78|17878|76561|
2021-01-07T15:46:46.000Z|76561|H2602|MIS|E|PROJOBNOW|Mensuel de 1750,00 Euros ï¿½ 2000,00 Euros|Temps plein||3|78||76561|
2021-03-05T14:10:35.000Z|76561|H2903|MIS|E|PROJOBNOW|Annuel de 25000,00 Euros ï¿½ 27500,00 Euros|Temps plein||7|78|15158|76561|
2021-03-15T21:49:28.000Z|76561|K2107|CDD|D|Complétude|Horaire de 14,47 Euros ï¿½ 19,47 Euros|Temps partiel||5|85|18109|76561|
2021-03-12T04:01:32.000Z|76561|D1407|CDI|E|||Temps plein||8||15614|76561|
2021-03-05T14:10:46.000Z|76561|H2602|MIS|E|PROJOBNOW|Mensuel de 1750,00 Euros ï¿½ 2000,00 Euros|Temps plein||4|78||76561|
2021-02-16T11:58:37.000Z|76561|J1506|CDD|D|CTRE HOSPITALIER ELBEUF LES FEUGRAIS|Mensuel de 1900,00 Euros à 1900,00 Euros sur 12 mois|Temps plein||8|86|38222|76561|
2021-01-06T09:09:39.000Z|76561|J1404|MIS|D|Appel Medical||Temps plein|||78|16419|76561|
