type_annonceur;typedebien;typedetransaction;etage;surface;surface_terrain;nb_pieces;prix_bien;prix_maison;prix_terrain;mensualiteFinance;balcon;eau;bain;dpeL;dpeC;mapCoordonneesLatitude;mapCoordonneesLongitude;annonce_exclusive;nb_etages;parking;places_parking;cave;exposition;ges_class;annee_construction;nb_toilettes;nb_terraces;videophone;porte_digicode;surface_balcon;ascenseur;nb_logements_copro;charges_copro;chauffage_energie;chauffage_systeme;chauffage_mode;categorie_annonceur;logement_neuf;typedebien_lite;date;INSEE_COM;IRIS;CODE_IRIS;TYP_IRIS;DEP;REG;loyer_m2_median_n6;nb_log_n6;taux_rendement_n6;loyer_m2_median_n7;nb_log_n7;taux_rendement_n7;prix_m2_vente
pr;m;v;0;95;1200.0;5;386000;;;0;0;0;1;C;121;41.55964;9.27557;Oui;;;2.0;;Sud;A;;1.0;;;False;;;;;Électrique;;;m;n;m;2020-04;2A247;0202;2A2470202;H;2A;94.0;;;;;;;4063.16
pr;a;v;0;146;;5;629000;;;0;0;0;2;C;95.0;41.56348;9.31526;Oui;1.0;;1.0;False;Sud-Est;A;;2.0;2.0;;;;False;;;Électrique;;Individuel;a;n;a;2020-04;2A247;0202;2A2470202;H;2A;94.0;;;;;;;4308.22
pr;a;v;7;160;;5;728000;;;0;0;0;0;0;;42.71956;9.43795;0;7.0;;;;Nord Sud Ouest;;;;;;;;True;;;Électrique;Convecteur;Individuel;a;n;a;2020-04;2B353;0000;2B3530000;Z;2B;94.0;;;;;;;4550.0
pr;a;v;0;45;;2;225000;;;0;0;1;0;A;;41.88823;8.80856;Oui;3.0;;;;0;A;2020.0;1.0;1.0;;;;True;20.0;1000.0;;;Individuel;a;n;a;2020-04;2A130;0000;2A1300000;Z;2A;94.0;20.22;4.0;0.049;20.22;4.0;0.049;5000.0
pr;m;v;0;190;1700.0;6;1180000;;;0;0;4;0;C;150.0;41.89212;8.80717;Non;1.0;;4.0;True;0;E;1997.0;5.0;4.0;;;;;;;;;Individuel;a;n;m;2020-04;2A130;0000;2A1300000;Z;2A;94.0;;;;;;;6210.53
pr;m;v;0;74;1408.0;3;450000;;;0;0;1;0;D;202;41.69534;9.35385;Non;;;1.0;;sud-ouest;B;;1.0;;;False;;;;;;;Individuel;m;n;m;2020-04;2A362;0000;2A3620000;Z;2A;94.0;;;;;;;6081.08
pr;a;v;0;111;;4;630000;;;2605;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;94.0;;;;;;;5675.68
pr;a;v;0;69;;3;390000;;;1633;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;94.0;;;;;;;5652.17
pr;a;v;0;67;;3;390000;;;1616;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;94.0;;;;;;;5820.9
pr;a;v;0;68;;3;390000;;;1633;0;0;0;0;;41.42164;9.1177;Non;;;;;0;;;;;;;;;;;;;;a;;a;2020-04;2A041;0000;2A0410000;Z;2A;94.0;;;;;;;5735.29
